Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
議事録を作成しました。,I've written up the minutes.,作成,議事録【ぎじろく】を作成【さくせい】しました。,Work - Docs,polite,creation,"<ruby class=""vocab"">作成<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">く</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">い</span></rt></ruby>"
下記の候補から選んでください。,Please pick from the options below.,下記,下記【かき】の候補【こうほ】から選【えら】んでください。,Work - Docs,polite,"the following, below","<ruby class=""vocab"">下記<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">き</span></rt></ruby>"
音声を聞き直してみます。,I'll listen back to the audio.,音声,音声【おんせい】を聞【き】き直【なお】してみます。,Work - Data,polite,"voice, audio","<ruby class=""vocab"">音声<rt><span class=""pitch-h"">お</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">せ</span><span class=""pitch-l"">い</span></rt></ruby>"
監視の項目を追加しておきました。,I went ahead and added the monitoring item.,追加,監視【かんし】の項目【こうもく】を追加【ついか】しておきました。,Work - Process,polite,addition,"<ruby class=""vocab"">追加<rt><span class=""pitch-l"">つ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">か</span></rt></ruby>"
この作業は今日中に終わらせます。,I'll finish this task today.,作業,この作業【さぎょう】は今日中【きょうじゅう】に終【お】わらせます。,Work - Process,polite,"task, work","<ruby class=""vocab"">作業<rt><span class=""pitch-h"">さ</span><span class=""pitch-l"">ぎょ</span><span class=""pitch-l"">う</span></rt></ruby>"
依頼の内容を確認させてください。,Let me check what the request says.,依頼,依頼【いらい】の内容【ないよう】を確認【かくにん】させてください。,Work - Comms,polite,request,"<ruby class=""vocab"">依頼<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">い</span></rt></ruby>"
足りない情報があれば教えてください。,Let me know if any information is missing.,情報,足【た】りない情報【じょうほう】があれば教【おし】えてください。,Work - Data,polite,information,"<ruby class=""vocab"">情報<rt><span class=""pitch-l"">じょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ほ</span><span class=""pitch-h"">う</span></rt></ruby>"
この機能は誰でも利用できます。,Anyone can use this feature.,利用,この機能【きのう】は誰【だれ】でも利用【りよう】できます。,Work - System,polite,use,"<ruby class=""vocab"">利用<rt><span class=""pitch-l"">り</span><span class=""pitch-h"">よ</span><span class=""pitch-h"">う</span></rt></ruby>"
画像を貼っておきました。,I've attached the image.,画像,画像【がぞう】を貼【は】っておきました。,Work - Data,polite,image,"<ruby class=""vocab"">画像<rt><span class=""pitch-l"">が</span><span class=""pitch-h"">ぞ</span><span class=""pitch-h"">う</span></rt></ruby>"
使用しているモデルを教えてください。,Tell me which model you're using.,使用,使用【しよう】しているモデルを教【おし】えてください。,Work - System,polite,"use, usage","<ruby class=""vocab"">使用<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">よ</span><span class=""pitch-h"">う</span></rt></ruby>"
回答が遅くなってすみません。,Sorry for the slow reply.,回答,回答【かいとう】が遅【おそ】くなってすみません。,Work - Comms,polite,"answer, reply","<ruby class=""vocab"">回答<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">い</span><span class=""pitch-h"">と</span><span class=""pitch-h"">う</span></rt></ruby>"
