Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
必要な権限を付与しました。,I granted the necessary permissions.,付与,必要【ひつよう】な権限【けんげん】を付与【ふよ】しました。,Work - Access,polite,granting,"<ruby class=""vocab"">付与<rt><span class=""pitch-h"">ふ</span><span class=""pitch-l"">よ</span></rt></ruby>"
ご協力ありがとうございます。,Thank you for your help.,協力,ご協力【きょうりょく】ありがとうございます。,Work - People,polite,cooperation,"<ruby class=""vocab"">協力<rt><span class=""pitch-l"">きょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">りょ</span><span class=""pitch-h"">く</span></rt></ruby>"
法務にも確認します。,I'll check with legal too.,法務,法務【ほうむ】にも確認【かくにん】します。,Work - People,polite,legal department,"<ruby class=""vocab"">法務<rt><span class=""pitch-h"">ほ</span><span class=""pitch-l"">う</span><span class=""pitch-l"">む</span></rt></ruby>"
内部の資料なので外に出せません。,It's an internal document so it can't leave.,内部,内部【ないぶ】の資料【しりょう】なので外【そと】に出【だ】せません。,Work - Scope,polite,internal,"<ruby class=""vocab"">内部<rt><span class=""pitch-h"">な</span><span class=""pitch-l"">い</span><span class=""pitch-l"">ぶ</span></rt></ruby>"
数字の捏造は絶対にできません。,Making up numbers is out of the question.,捏造,数字【すうじ】の捏造【ねつぞう】は絶対【ぜったい】にできません。,Work - Quality,polite,fabrication,"<ruby class=""vocab"">捏造<rt><span class=""pitch-l"">ね</span><span class=""pitch-h"">つ</span><span class=""pitch-h"">ぞ</span><span class=""pitch-h"">う</span></rt></ruby>"
これは既知の問題です。,This is a known issue.,既知,これは既知【きち】の問題【もんだい】です。,Work - Problem,polite,known,"<ruby class=""vocab"">既知<rt><span class=""pitch-h"">き</span><span class=""pitch-l"">ち</span></rt></ruby>"
朝は混雑して遅くなります。,It gets congested and slow in the morning.,混雑,朝【あさ】は混雑【こんざつ】して遅【おそ】くなります。,Work - System,polite,congestion,"<ruby class=""vocab"">混雑<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">ざ</span><span class=""pitch-l"">つ</span></rt></ruby>"
その点も考慮しました。,I took that into account as well.,考慮,その点【てん】も考慮【こうりょ】しました。,Work - Process,polite,consideration,"<ruby class=""vocab"">考慮<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">う</span><span class=""pitch-l"">りょ</span></rt></ruby>"
自社で作るか買うか迷っています。,I'm torn between building in house and buying.,自社,自社【じしゃ】で作【つく】るか買【か】うか迷【まよ】っています。,Work - Scope,polite,our own company,"<ruby class=""vocab"">自社<rt><span class=""pitch-h"">じ</span><span class=""pitch-l"">しゃ</span></rt></ruby>"
中期の計画をまとめています。,I'm putting the medium-term plan together.,中期,中期【ちゅうき】の計画【けいかく】をまとめています。,Work - Schedule,polite,medium term,"<ruby class=""vocab"">中期<rt><span class=""pitch-h"">ちゅ</span><span class=""pitch-l"">う</span><span class=""pitch-l"">き</span></rt></ruby>"
