Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
時間になりましたので始めましょう。,"It's time, let's get started.",時間になりました,時間【じかん】になりましたので始【はじ】めましょう。,Meeting - Open,polite,time has come,"<ruby class=""vocab"">時間になりました<rt>じかんになりました</rt></ruby>"
全員そろいましたか。,Is everyone here?,そろいました,全員【ぜんいん】そろいましたか。,Meeting - Open,polite,all present,"<span class=""vocab"">そろいました</span>"
録画を開始しますね。,Starting the recording.,録画,録画【ろくが】を開始【かいし】しますね。,Meeting - Open,polite,recording,"<ruby class=""vocab"">録画<rt><span class=""pitch-l"">ろ</span><span class=""pitch-h"">く</span><span class=""pitch-h"">が</span></rt></ruby>"
メモ係は私がやります。,I'll be the note-taker.,メモ係,メモ係【がかり】は私【わたし】がやります。,Meeting - Open,polite,note-taker,"<ruby class=""vocab"">メモ係<rt>めもがかり</rt></ruby>"
本日の論点は2つです。,There are two points to discuss today.,論点,本日【ほんじつ】の論点【ろんてん】は2つです。,Meeting - Open,polite,discussion point,"<ruby class=""vocab"">論点<rt><span class=""pitch-l"">ろ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">て</span><span class=""pitch-l"">ん</span></rt></ruby>"
今日決まったことをまとめます。,Let me sum up what we decided today.,まとめます,今日【きょう】決【き】まったことをまとめます。,Meeting - Close,polite,summarize,"<span class=""vocab"">まとめます</span>"
次回は来週の火曜です。,Next time is Tuesday next week.,次回,次回【じかい】は来週【らいしゅう】の火曜【かよう】です。,Meeting - Close,polite,next time,"<ruby class=""vocab"">次回<rt><span class=""pitch-h"">じ</span><span class=""pitch-l"">か</span><span class=""pitch-l"">い</span></rt></ruby>"
今日はここまでにしましょう。,Let's call it here today.,ここまで,今日【きょう】はここまでにしましょう。,Meeting - Close,polite,up to here,"<span class=""vocab"">ここまで</span>"
お時間ある方は残ってください。,"Those with time, please stay on.",残って,お時間【じかん】ある方【かた】は残【のこ】ってください。,Meeting - Close,polite,stay,"<ruby class=""vocab"">残って<rt>のこって</rt></ruby>"
何かあればSlackでお願いします。,"Anything else, ping me on Slack.",何かあれば,何【なに】かあればSlackでお願【ねが】いします。,Meeting - Close,polite,if anything comes up,"<ruby class=""vocab"">何かあれば<rt>なにかあれば</rt></ruby>"
お忙しい中ありがとうございました。,Thanks for making the time.,お忙しい中,お忙【いそが】しい中【なか】ありがとうございました。,Meeting - Close,keigo,amid your busy schedule (keigo),"<ruby class=""vocab"">お忙しい中<rt>おいそがしいなか</rt></ruby>"
田中さんはどう思いますか。,"What do you think, Tanaka-san?",どう思いますか,田中【たなか】さんはどう思【おも】いますか。,Meeting - Facilitate,polite,what do you think,"<ruby class=""vocab"">どう思いますか<rt>どうおもいますか</rt></ruby>"
順番に聞いていきましょう。,Let's go around one by one.,順番,順番【じゅんばん】に聞【き】いていきましょう。,Meeting - Facilitate,polite,order / turn,"<ruby class=""vocab"">順番<rt><span class=""pitch-l"">じゅ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ば</span><span class=""pitch-h"">ん</span></rt></ruby>"
時間が押しているので次に進みます。,"We're running over, moving on.",押している,時間【じかん】が押【お】しているので次【つぎ】に進【すす】みます。,Meeting - Facilitate,polite,running over (time),"<ruby class=""vocab"">押している<rt>おしている</rt></ruby>"
ここで一度区切りましょう。,Let's pause here for a moment.,区切り,ここで一度【いちど】区切【くぎ】りましょう。,Meeting - Facilitate,polite,break point,"<ruby class=""vocab"">区切り<rt><span class=""pitch-l"">く</span><span class=""pitch-h"">ぎ</span><span class=""pitch-h"">り</span></rt></ruby>"
巻きで進めましょう。,Let's speed it up.,巻きで,巻【ま】きで進【すす】めましょう。,Meeting - Facilitate,polite,hurry up (jargon),"<ruby class=""vocab"">巻きで<rt>まきで</rt></ruby>"
