Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
最初に自己紹介をします。,"First, let me introduce myself.",自己紹介,最初【さいしょ】に自己【じこ】紹介【しょうかい】をします。,Self-Intro - Frame,polite,self-introduction,"<ruby class=""vocab"">自己紹介<rt>じこしょうかい</rt></ruby>"
私の経歴を簡単に話します。,I'll go over my career history briefly.,経歴,私【わたし】の経歴【けいれき】を簡単【かんたん】に話【はな】します。,Self-Intro - Frame,polite,career history,"<ruby class=""vocab"">経歴<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">い</span><span class=""pitch-h"">れ</span><span class=""pitch-h"">き</span></rt></ruby>"
職務経歴はこのあと詳しく話します。,I'll cover my professional background in more detail after this.,職務経歴,職務【しょくむ】経歴【けいれき】はこのあと詳【くわ】しく話【はな】します。,Self-Intro - Frame,polite,professional background,"<ruby class=""vocab"">職務経歴<rt>しょくむけいれき</rt></ruby>"
出身と前の仕事について話します。,I'll talk about where I'm from and my previous work.,出身,出身【しゅっしん】と前【まえ】の仕事【しごと】について話【はな】します。,Self-Intro - Frame,polite,where one is from,"<ruby class=""vocab"">出身<rt><span class=""pitch-l"">しゅ</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">し</span><span class=""pitch-h"">ん</span></rt></ruby>"
前の職場では会計まわりの担当でした。,At my last workplace I was the one responsible for accounting.,担当,前【まえ】の職場【しょくば】では会計【かいけい】まわりの担当【たんとう】でした。,Self-Intro - Frame,polite,the one responsible,"<ruby class=""vocab"">担当<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span><span class=""pitch-h"">う</span></rt></ruby>"
今月からこのチームに配属になりました。,I was assigned to this team this month.,配属,今月【こんげつ】からこのチームに配属【はいぞく】になりました。,Self-Intro - Frame,polite,assignment to a team,"<ruby class=""vocab"">配属<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ぞ</span><span class=""pitch-h"">く</span></rt></ruby>"
社内の異動でこちらに来ました。,I came here through an internal transfer.,異動,社内【しゃない】の異動【いどう】でこちらに来【き】ました。,Self-Intro - Frame,polite,internal transfer,"<ruby class=""vocab"">異動<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">う</span></rt></ruby>"
本日着任しました。,I'm taking up my new post today.,着任,本日【ほんじつ】着任【ちゃくにん】しました。,Self-Intro - Frame,polite,taking up a post,"<ruby class=""vocab"">着任<rt><span class=""pitch-l"">ちゃ</span><span class=""pitch-h"">く</span><span class=""pitch-h"">に</span><span class=""pitch-h"">ん</span></rt></ruby>"
前職では社内向けの仕組みを作っていました。,At my previous job I built internal systems.,前職,前職【ぜんしょく】では社内【しゃない】向【む】けの仕組【しく】みを作【つく】っていました。,Self-Intro - Frame,polite,previous job,"<ruby class=""vocab"">前職<rt><span class=""pitch-h"">ぜ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">しょ</span><span class=""pitch-l"">く</span></rt></ruby>"
私の強みは仕組みを整えることです。,My strength is putting processes in order.,強み,私【わたし】の強【つよ】みは仕組【しく】みを整【ととの】えることです。,Self-Intro - Frame,polite,strength,"<ruby class=""vocab"">強み<rt><span class=""pitch-l"">つ</span><span class=""pitch-h"">よ</span><span class=""pitch-h"">み</span></rt></ruby>"
細かい調整が得意です。,I'm good at fine-tuning details.,得意,細【こま】かい調整【ちょうせい】が得意【とくい】です。,Self-Intro - Frame,polite,good at,"<ruby class=""vocab"">得意<rt><span class=""pitch-l"">と</span><span class=""pitch-h"">く</span><span class=""pitch-l"">い</span></rt></ruby>"
今年の抱負を一つだけ話します。,I'll share just one aspiration for this year.,抱負,今年【ことし】の抱負【ほうふ】を一【ひと】つだけ話【はな】します。,Self-Intro - Frame,polite,aspiration,"<ruby class=""vocab"">抱負<rt><span class=""pitch-l"">ほ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ふ</span></rt></ruby>"
最後に意気込みを話します。,"Last, I'll say what I intend to do.",意気込み,最後【さいご】に意気【いき】込【こ】みを話【はな】します。,Self-Intro - Frame,polite,resolve,"<ruby class=""vocab"">意気込み<rt>いきこみ</rt></ruby>"
今後は自動化にも取り組みたいです。,From here on I'd also like to work on automation.,今後,今後【こんご】は自動【じどう】化【か】にも取【と】り組【く】みたいです。,Self-Intro - Frame,polite,from here on,"<ruby class=""vocab"">今後<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ご</span></rt></ruby>"
はじめまして。今日から一緒に働くエンジニアです。,Nice to meet you. I'm the engineer joining you from today.,はじめまして,はじめまして。今日【きょう】から一緒【いっしょ】に働【はたら】くエンジニアです。,Self-Intro - Formula,polite,nice to meet you,"<span class=""vocab"">はじめまして</span>"
時間も限られているので、簡単に自己紹介します。,"Since time is limited, I'll introduce myself briefly.",簡単に自己紹介します,時間【じかん】も限【かぎ】られているので、簡単【かんたん】に自己【じこ】紹介【しょうかい】します。,Self-Intro - Formula,polite,I'll introduce myself briefly,"<ruby class=""vocab"">簡単に自己紹介します<rt>かんたんにじこしょうかいします</rt></ruby>"
前の職場では請求まわりを担当していました。,At my last workplace I was in charge of billing.,担当していました,前【まえ】の職場【しょくば】では請求【せいきゅう】まわりを担当【たんとう】していました。,Self-Intro - Formula,polite,I was in charge of,"<ruby class=""vocab"">担当していました<rt>たんとうしていました</rt></ruby>"
十年ほど開発をやってきました。,I've been doing development for about ten years.,やってきました,十【じゅう】年【ねん】ほど開発【かいはつ】をやってきました。,Self-Intro - Formula,polite,I've been doing,"<span class=""vocab"">やってきました</span>"
これからよろしくお願いします。,I look forward to working with you.,よろしくお願いします,これからよろしくお願【ねが】いします。,Self-Intro - Formula,polite,looking forward to it,"<ruby class=""vocab"">よろしくお願いします<rt>よろしくおねがいします</rt></ruby>"
