Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
新築住宅は三年間、固定資産税が二分の一に減額されます。,"For a new house, property tax is halved for three years.",減額,新築住宅【しんちくじゅうたく】は三年間【さんねんかん】、固定資産税【こていしさんぜい】が二分【にぶん】の一【いち】に減額【げんがく】されます。,税金・応用 - new build relief,written,reduction,"<ruby class=""vocab"">減額<rt><span class=""pitch-l"">げ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">が</span><span class=""pitch-h"">く</span></rt></ruby>"
床面積が四十平米以上であることが要件です。,A floor area of at least 40 square metres is required.,床面積,床面積【ゆかめんせき】が四十平米以上【よんじゅうへいべいいじょう】であることが要件【ようけん】です。,税金・応用 - the 40m2 cliff,written,floor area,"<ruby class=""vocab"">床面積<rt>ゆかめんせき</rt></ruby>"
小規模住宅用地は課税標準が六分の一になります。,Small residential land is assessed at one-sixth.,小規模住宅用地,小規模住宅用地【しょうきぼじゅうたくようち】は課税標準【かぜいひょうじゅん】が六分【ろくぶん】の一【いち】になります。,税金・応用 - the 1/6 rule,written,small-scale residential land,"<ruby class=""vocab"">小規模住宅用地<rt>しょうきぼじゅうたくようち</rt></ruby>"
二百平米を超える部分は三分の一です。,The portion above 200 square metres is one-third.,超える,二百平米【にひゃくへいべい】を超【こ】える部分【ぶぶん】は三分【さんぶん】の一【いち】です。,税金・応用 - the 1/3 band,written,to exceed,"<ruby class=""vocab"">超える<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">え</span><span class=""pitch-h"">る</span></rt></ruby>"
住宅用地の特例は家屋の床面積の十倍までです。,The relief covers land up to ten times the floor area.,家屋,住宅用地【じゅうたくようち】の特例【とくれい】は家屋【かおく】の床面積【ゆかめんせき】の十倍【じゅうばい】までです。,税金・応用 - the 10x cap,written,house / dwelling,"<ruby class=""vocab"">家屋<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">お</span><span class=""pitch-l"">く</span></rt></ruby>"
宅地の課税標準は二分の一に軽減されます。,The taxable base for residential land is halved.,軽減,宅地【たくち】の課税標準【かぜいひょうじゅん】は二分【にぶん】の一【いち】に軽減【けいげん】されます。,税金・応用 - acquisition tax,written,reduction / easing,"<ruby class=""vocab"">軽減<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">い</span><span class=""pitch-h"">げ</span><span class=""pitch-h"">ん</span></rt></ruby>"
新築住宅には千二百万円の控除があります。,A new house gets a twelve-million-yen deduction.,控除,新築住宅【しんちくじゅうたく】には千二百万円【せんにひゃくまんえん】の控除【こうじょ】があります。,税金・応用 - the big deduction,written,deduction,"<ruby class=""vocab"">控除<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">う</span><span class=""pitch-l"">じょ</span></rt></ruby>"
住宅用家屋証明書があれば登録免許税が下がります。,"With a residential house certificate, registration tax drops.",住宅用家屋証明書,住宅用家屋証明書【じゅうたくようかおくしょうめいしょ】があれば登録免許税【とうろくめんきょぜい】が下【さ】がります。,税金・応用 - needs 50m2,written,residential house certificate,"<ruby class=""vocab"">住宅用家屋証明書<rt>じゅうたくようかおくしょうめいしょ</rt></ruby>"
減額の申告は翌年一月三十一日までに必要です。,The reduction must be claimed by 31 January the following year.,申告,減額【げんがく】の申告【しんこく】は翌年【よくねん】一月三十一日【いちがつさんじゅういちにち】までに必要【ひつよう】です。,税金・応用 - don't miss it,written,filing / declaration,"<ruby class=""vocab"">申告<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">こ</span><span class=""pitch-h"">く</span></rt></ruby>"
家屋の三要件は外気分断性、定着性、用途性です。,"The three tests are enclosure, fixity and usability.",外気分断性,家屋【かおく】の三要件【さんようけん】は外気分断性【がいきぶんだんせい】、定着性【ていちゃくせい】、用途性【ようとせい】です。,税金・応用 - what counts as a house,written,enclosure from the elements,"<ruby class=""vocab"">外気分断性<rt>がいきぶんだんせい</rt></ruby>"
基礎に固定すると土地への定着性が認められます。,Fixing it to a foundation establishes fixity to the land.,基礎,基礎【きそ】に固定【こてい】すると土地【とち】への定着性【ていちゃくせい】が認【みと】められます。,税金・応用 - container houses,written,foundation,"<ruby class=""vocab"">基礎<rt><span class=""pitch-h"">き</span><span class=""pitch-l"">そ</span></rt></ruby>"
評価額は再建築価格をもとに算定されます。,The assessed value is derived from reconstruction cost.,再建築価格,評価額【ひょうかがく】は再建築価格【さいけんちくかかく】をもとに算定【さんてい】されます。,税金・応用 - how they value it,written,reconstruction cost,"<ruby class=""vocab"">再建築価格<rt>さいけんちくかかく</rt></ruby>"
コンテナハウスも建築物とみなされれば課税対象です。,A container house is taxable if deemed a building.,課税対象,コンテナハウスも建築物【けんちくぶつ】とみなされれば課税対象【かぜいたいしょう】です。,税金・応用 - no loophole,written,subject to taxation,"<ruby class=""vocab"">課税対象<rt>かぜいたいしょう</rt></ruby>"
不動産取得税は県税事務所が所管しています。,Acquisition tax is handled by the prefectural tax office.,県税事務所,不動産取得税【ふどうさんしゅとくぜい】は県税事務所【けんぜいじむしょ】が所管【しょかん】しています。,税金・応用 - who to ask,written,prefectural tax office,"<ruby class=""vocab"">県税事務所<rt>けんぜいじむしょ</rt></ruby>"
資産税課で家屋の評価方法を確認したいです。,I'd like to check how houses are valued with the assets tax division.,資産税課,資産税課【しさんぜいか】で家屋【かおく】の評価方法【ひょうかほうほう】を確認【かくにん】したいです。,税金・応用 - city hall desk,polite,assets tax division,"<ruby class=""vocab"">資産税課<rt>しさんぜいか</rt></ruby>"
