Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
前面道路は四十二条二項道路ですか。,Is the front road an Article 42-2 road?,四十二条二項道路,前面道路【ぜんめんどうろ】は四十二条二項道路【よんじゅうにじょうにこうどうろ】ですか。,道路・応用 - narrow legal road,polite,Article 42-2 road,"<ruby class=""vocab"">四十二条二項道路<rt>よんじゅうにじょうにこうどうろ</rt></ruby>"
セットバックが必要な面積は何平米ですか。,How many square metres must be set back?,セットバック,セットバックが必要【ひつよう】な面積【めんせき】は何平米【なんへいべい】ですか。,道路・応用 - quantify the loss,polite,setback,"<span class=""vocab"">セットバック</span>"
道路の中心線から二メートル後退します。,You pull back two metres from the road centreline.,中心線,道路【どうろ】の中心線【ちゅうしんせん】から二【に】メートル後退【こうたい】します。,道路・応用 - how setback works,written,centreline,"<ruby class=""vocab"">中心線<rt>ちゅうしんせん</rt></ruby>"
後退部分は建ぺい率の計算に算入できません。,The set-back portion cannot count toward building coverage.,算入,後退部分【こうたいぶぶん】は建【けん】ぺい率【りつ】の計算【けいさん】に算入【さんにゅう】できません。,道路・応用 - dead land,written,inclusion in a calculation,"<ruby class=""vocab"">算入<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">にゅ</span><span class=""pitch-h"">う</span></rt></ruby>"
再建築不可の土地は避けたいです。,I want to avoid land where rebuilding is prohibited.,再建築不可,再建築不可【さいけんちくふか】の土地【とち】は避【さ】けたいです。,道路・応用 - red flag,polite,rebuilding prohibited,"<ruby class=""vocab"">再建築不可<rt>さいけんちくふか</rt></ruby>"
四十三条但し書きの許可が必要ですか。,Is an Article 43 proviso approval required?,但し書き,四十三条【よんじゅうさんじょう】但【ただ】し書【が】きの許可【きょか】が必要【ひつよう】ですか。,道路・応用 - the exception route,polite,proviso clause,"<ruby class=""vocab"">但し書き<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">し</span><span class=""pitch-h"">が</span><span class=""pitch-h"">き</span></rt></ruby>"
位置指定道路でしょうか。,Is it a position-designated road?,位置指定道路,位置指定道路【いちしていどうろ】でしょうか。,道路・応用 - designated private road,polite,position-designated road,"<ruby class=""vocab"">位置指定道路<rt>いちしていどうろ</rt></ruby>"
道路の幅員は何メートルですか。,How wide is the road?,幅員,道路【どうろ】の幅員【ふくいん】は何【なん】メートルですか。,道路・応用 - road width,polite,road width,"<ruby class=""vocab"">幅員<rt><span class=""pitch-l"">ふ</span><span class=""pitch-h"">く</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ん</span></rt></ruby>"
公道ですか、私道ですか。,Is it a public road or a private one?,公道,公道【こうどう】ですか、私道【しどう】ですか。,道路・応用 - ownership of the road,polite,public road,"<ruby class=""vocab"">公道<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">う</span></rt></ruby>"
旗竿地の場合、間口の幅を教えてください。,"If it's a flagpole lot, please tell me the frontage width.",旗竿地,旗竿地【はたざおち】の場合【ばあい】、間口【まぐち】の幅【はば】を教【おし】えてください。,道路・応用 - flagpole lot,polite,flagpole lot,"<ruby class=""vocab"">旗竿地<rt>はたざおち</rt></ruby>"
特定用途制限地域に該当しますか。,Does it fall in a specified use restriction district?,特定用途制限地域,特定用途制限地域【とくていようとせいげんちいき】に該当【がいとう】しますか。,道路・応用 - white zone limits,polite,specified use restriction district,"<ruby class=""vocab"">特定用途制限地域<rt>とくていようとせいげんちいき</rt></ruby>"
地区計画や建築協定はありますか。,Is there a district plan or building agreement?,地区計画,地区計画【ちくけいかく】や建築協定【けんちくきょうてい】はありますか。,道路・応用 - local rules,polite,district plan,"<ruby class=""vocab"">地区計画<rt>ちくけいかく</rt></ruby>"
国土利用計画法の届出が必要な面積ですか。,Is the area large enough to require a land-use notification?,届出,国土利用計画法【こくどりようけいかくほう】の届出【とどけで】が必要【ひつよう】な面積【めんせき】ですか。,道路・応用 - NLUPA filing,polite,notification / filing,"<ruby class=""vocab"">届出<rt><span class=""pitch-l"">と</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">け</span><span class=""pitch-h"">で</span></rt></ruby>"
農振農用地に指定されていませんか。,Is it designated as agricultural promotion land?,農振農用地,農振農用地【のうしんのうようち】に指定【してい】されていませんか。,道路・応用 - farmland lock,polite,agricultural promotion land,"<ruby class=""vocab"">農振農用地<rt>のうしんのうようち</rt></ruby>"
保安林の指定はありませんか。,Is any part designated as protection forest?,保安林,保安林【ほあんりん】の指定【してい】はありませんか。,道路・応用 - forest lock,polite,protection forest,"<ruby class=""vocab"">保安林<rt>ほあんりん</rt></ruby>"
