Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
土地面積は公簿で三百七平米です。,The land area is 307 square metres by the registry.,公簿,土地面積【とちめんせき】は公簿【こうぼ】で三百七平米【さんびゃくななへいべい】です。,物件情報・基礎 - registry area,written,official register,"<ruby class=""vocab"">公簿<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">う</span><span class=""pitch-l"">ぼ</span></rt></ruby>"
土地の権利は所有権です。,The land right is freehold ownership.,所有権,土地【とち】の権利【けんり】は所有権【しょゆうけん】です。,物件情報・基礎 - freehold,written,ownership / freehold,"<ruby class=""vocab"">所有権<rt>しょゆうけん</rt></ruby>"
現況は更地です。,The current state is vacant land.,更地,現況【げんきょう】は更地【さらち】です。,物件情報・基礎 - vacant lot,written,cleared vacant land,"<ruby class=""vocab"">更地<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">ち</span></rt></ruby>"
引渡可能時期は即時です。,It can be handed over immediately.,即時,引渡【ひきわたし】可能【かのう】時期【じき】は即時【そくじ】です。,物件情報・基礎 - handover,written,immediate,"<ruby class=""vocab"">即時<rt><span class=""pitch-h"">そ</span><span class=""pitch-l"">く</span><span class=""pitch-l"">じ</span></rt></ruby>"
地勢は平坦です。,The terrain is flat.,地勢,地勢【ちせい】は平坦【へいたん】です。,物件情報・基礎 - terrain,written,topography,"<ruby class=""vocab"">地勢<rt><span class=""pitch-l"">ち</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">い</span></rt></ruby>"
坪単価はいくらですか。,What's the price per tsubo?,坪単価,坪単価【つぼたんか】はいくらですか。,物件情報・基礎 - unit price,polite,price per tsubo,"<ruby class=""vocab"">坪単価<rt>つぼたんか</rt></ruby>"
最寄り駅から徒歩四十二分です。,It's a 42-minute walk from the nearest station.,最寄り駅,最寄【もよ】り駅【えき】から徒歩【とほ】四十二分【よんじゅうにふん】です。,物件情報・基礎 - access,written,nearest station,"<ruby class=""vocab"">最寄り駅<rt>もよりえき</rt></ruby>"
私道の負担はありません。,There is no private-road burden.,私道,私道【しどう】の負担【ふたん】はありません。,物件情報・基礎 - private road share,written,private road,"<ruby class=""vocab"">私道<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">う</span></rt></ruby>"
設備は電気と上水道のみです。,Utilities are electricity and mains water only.,設備,設備【せつび】は電気【でんき】と上水道【じょうすいどう】のみです。,物件情報・基礎 - utilities listed,written,equipment / utilities,"<ruby class=""vocab"">設備<rt><span class=""pitch-h"">せ</span><span class=""pitch-l"">つ</span><span class=""pitch-l"">び</span></rt></ruby>"
分割して購入することはできますか。,Can I buy just part of it?,分割,分割【ぶんかつ】して購入【こうにゅう】することはできますか。,物件情報・基礎 - subdivision,polite,division / splitting,"<ruby class=""vocab"">分割<rt><span class=""pitch-l"">ぶ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">か</span><span class=""pitch-h"">つ</span></rt></ruby>"
隣に農地が接しています。,Farmland adjoins it.,農地,隣【となり】に農地【のうち】が接【せっ】しています。,物件情報・基礎 - adjoining farmland,polite,farmland,"<ruby class=""vocab"">農地<rt><span class=""pitch-h"">の</span><span class=""pitch-l"">う</span><span class=""pitch-l"">ち</span></rt></ruby>"
建ぺい率は七十パーセントです。,The building coverage ratio is 70 percent.,建ぺい率,建【けん】ぺい率【りつ】は七十【ななじゅう】パーセントです。,物件情報・基礎 - coverage,written,building coverage ratio,"<ruby class=""vocab"">建ぺい率<rt>けんぺいりつ</rt></ruby>"
容積率は二百パーセントです。,The floor area ratio is 200 percent.,容積率,容積率【ようせきりつ】は二百【にひゃく】パーセントです。,物件情報・基礎 - FAR,written,floor area ratio,"<ruby class=""vocab"">容積率<rt>ようせきりつ</rt></ruby>"
用途地域は無指定です。,No use district is designated.,用途地域,用途地域【ようとちいき】は無指定【むしてい】です。,物件情報・基礎 - use district,written,use district / zoning,"<ruby class=""vocab"">用途地域<rt>ようとちいき</rt></ruby>"
最適用途は住宅用地です。,The best use is residential land.,住宅用地,最適【さいてき】用途【ようと】は住宅用地【じゅうたくようち】です。,物件情報・基礎 - intended use,written,residential land,"<ruby class=""vocab"">住宅用地<rt>じゅうたくようち</rt></ruby>"
