Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
看板を見てお電話しました。,I'm calling because I saw your sign.,看板,看板【かんばん】を見【み】てお電話【でんわ】しました。,電話・基礎 - roadside sign,polite,signboard,"<ruby class=""vocab"">看板<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ば</span><span class=""pitch-h"">ん</span></rt></ruby>"
売地について伺えますか。,May I ask about the land for sale?,売地,売地【うりち】について伺【うかが】えますか。,電話・基礎 - land for sale,keigo,land for sale,"<ruby class=""vocab"">売地<rt>うりち</rt></ruby>"
担当の方はいらっしゃいますか。,Is the person in charge available?,担当,担当【たんとう】の方【かた】はいらっしゃいますか。,電話・基礎 - person in charge,keigo,person in charge,"<ruby class=""vocab"">担当<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span><span class=""pitch-h"">う</span></rt></ruby>"
場所と面積と価格を教えてください。,"Please tell me the location, size and price.",面積,場所【ばしょ】と面積【めんせき】と価格【かかく】を教【おし】えてください。,電話・基礎 - the three basics,polite,area / size,"<ruby class=""vocab"">面積<rt><span class=""pitch-h"">め</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">せ</span><span class=""pitch-l"">き</span></rt></ruby>"
その土地の所在地はどちらですか。,Where is that land located?,所在地,その土地【とち】の所在地【しょざいち】はどちらですか。,電話・基礎 - location,polite,location / address,"<ruby class=""vocab"">所在地<rt>しょざいち</rt></ruby>"
土地の面積は何平米ですか。,How many square metres is the land?,平米,土地【とち】の面積【めんせき】は何【なん】平米【へいべい】ですか。,電話・基礎 - square metres,polite,square metre,"<ruby class=""vocab"">平米<rt><span class=""pitch-h"">へ</span><span class=""pitch-l"">い</span><span class=""pitch-l"">べ</span><span class=""pitch-l"">い</span></rt></ruby>"
価格はおいくらでしょうか。,How much is the price?,価格,価格【かかく】はおいくらでしょうか。,電話・基礎 - price,keigo,price,"<ruby class=""vocab"">価格<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">か</span><span class=""pitch-h"">く</span></rt></ruby>"
まだ売れていませんか。,Is it still unsold?,売れて,まだ売【う】れていませんか。,電話・基礎 - still available,polite,to be sold,"<ruby class=""vocab"">売れて<rt>うれて</rt></ruby>"
資料をメールで送っていただけますか。,Could you email me the documents?,資料,資料【しりょう】をメールで送【おく】っていただけますか。,電話・基礎 - request documents,keigo,documents / materials,"<ruby class=""vocab"">資料<rt><span class=""pitch-h"">し</span><span class=""pitch-l"">りょ</span><span class=""pitch-l"">う</span></rt></ruby>"
現地を見せていただきたいのですが。,"I'd like to see the site, if possible.",現地,現地【げんち】を見【み】せていただきたいのですが。,電話・基礎 - request a viewing,keigo,the site itself,"<ruby class=""vocab"">現地<rt><span class=""pitch-h"">げ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">ち</span></rt></ruby>"
今週末はご都合いかがでしょうか。,Would this weekend suit you?,都合,今週末【こんしゅうまつ】はご都合【つごう】いかがでしょうか。,電話・基礎 - propose a time,keigo,availability,"<ruby class=""vocab"">都合<rt><span class=""pitch-l"">つ</span><span class=""pitch-h"">ご</span><span class=""pitch-h"">う</span></rt></ruby>"
予算は三百万円までです。,My budget goes up to three million yen.,予算,予算【よさん】は三百万円【さんびゃくまんえん】までです。,電話・基礎 - state budget,polite,budget,"<ruby class=""vocab"">予算<rt><span class=""pitch-l"">よ</span><span class=""pitch-h"">さ</span><span class=""pitch-h"">ん</span></rt></ruby>"
今回は見送らせていただきます。,I'll pass on this one.,見送らせて,今回【こんかい】は見送【みおく】らせていただきます。,電話・基礎 - decline politely,keigo,to pass on / decline,"<ruby class=""vocab"">見送らせて<rt>みおくらせて</rt></ruby>"
予算内の物件が出たらご連絡ください。,Please contact me if something in budget comes up.,物件,予算内【よさんない】の物件【ぶっけん】が出【で】たらご連絡【れんらく】ください。,電話・基礎 - stay on their list,polite,property,"<ruby class=""vocab"">物件<rt><span class=""pitch-l"">ぶ</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">け</span><span class=""pitch-h"">ん</span></rt></ruby>"
お忙しいところありがとうございました。,Thank you for your time.,忙しい,お忙【いそが】しいところありがとうございました。,電話・基礎 - closing,keigo,busy,"<ruby class=""vocab"">忙しい<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">そ</span><span class=""pitch-h"">が</span><span class=""pitch-h"">し</span><span class=""pitch-l"">い</span></rt></ruby>"
