Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
固定資産税は年額いくらですか。,How much is the annual fixed asset tax?,固定資産税,固定資産税【こていしさんぜい】は年額【ねんがく】いくらですか。,税金・基礎 - the annual bill,polite,fixed asset tax,"<ruby class=""vocab"">固定資産税<rt>こていしさんぜい</rt></ruby>"
都市計画税はかかりますか。,Does city planning tax apply?,都市計画税,都市計画税【としけいかくぜい】はかかりますか。,税金・基礎 - extra 0.3%,polite,city planning tax,"<ruby class=""vocab"">都市計画税<rt>としけいかくぜい</rt></ruby>"
不動産取得税はいくらになりますか。,How much will the real estate acquisition tax be?,不動産取得税,不動産取得税【ふどうさんしゅとくぜい】はいくらになりますか。,税金・基礎 - one-off tax,polite,acquisition tax,"<ruby class=""vocab"">不動産取得税<rt>ふどうさんしゅとくぜい</rt></ruby>"
登録免許税は誰が負担しますか。,Who bears the registration and licence tax?,登録免許税,登録免許税【とうろくめんきょぜい】は誰【だれ】が負担【ふたん】しますか。,税金・基礎 - registration tax,polite,registration tax,"<ruby class=""vocab"">登録免許税<rt>とうろくめんきょぜい</rt></ruby>"
印紙税は契約書に必要です。,Stamp duty is required on the contract.,印紙税,印紙税【いんしぜい】は契約書【けいやくしょ】に必要【ひつよう】です。,税金・基礎 - stamp duty,written,stamp duty,"<ruby class=""vocab"">印紙税<rt>いんしぜい</rt></ruby>"
固定資産税評価額を教えてください。,Please tell me the assessed value for tax purposes.,評価額,固定資産税【こていしさんぜい】評価額【ひょうかがく】を教【おし】えてください。,税金・基礎 - the key number,polite,assessed value,"<ruby class=""vocab"">評価額<rt>ひょうかがく</rt></ruby>"
課税標準額はいくらですか。,What is the taxable base amount?,課税標準額,課税標準額【かぜいひょうじゅんがく】はいくらですか。,税金・基礎 - taxable base,polite,taxable standard amount,"<ruby class=""vocab"">課税標準額<rt>かぜいひょうじゅんがく</rt></ruby>"
税率は1.4パーセントです。,The tax rate is 1.4 percent.,税率,税率【ぜいりつ】は1.4パーセントです。,税金・基礎 - standard rate,written,tax rate,"<ruby class=""vocab"">税率<rt>ぜいりつ</rt></ruby>"
免税点を下回れば課税されません。,"Below the exemption threshold, no tax is levied.",免税点,免税点【めんぜいてん】を下回【したまわ】れば課税【かぜい】されません。,税金・基礎 - exemption floor,written,tax exemption threshold,"<ruby class=""vocab"">免税点<rt>めんぜいてん</rt></ruby>"
住宅用地の特例が適用されます。,The residential land special measure applies.,特例,住宅用地【じゅうたくようち】の特例【とくれい】が適用【てきよう】されます。,税金・基礎 - the big relief,written,special exception,"<ruby class=""vocab"">特例<rt><span class=""pitch-l"">と</span><span class=""pitch-h"">く</span><span class=""pitch-h"">れ</span><span class=""pitch-h"">い</span></rt></ruby>"
更地のままだと税額が高くなります。,"Left as vacant land, the tax is higher.",税額,更地【さらち】のままだと税額【ぜいがく】が高【たか】くなります。,税金・基礎 - vacant land penalty,polite,tax amount,"<ruby class=""vocab"">税額<rt><span class=""pitch-l"">ぜ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">が</span><span class=""pitch-h"">く</span></rt></ruby>"
納税通知書はいつ届きますか。,When does the tax notice arrive?,納税通知書,納税通知書【のうぜいつうちしょ】はいつ届【とど】きますか。,税金・基礎 - the bill,polite,tax notice,"<ruby class=""vocab"">納税通知書<rt>のうぜいつうちしょ</rt></ruby>"
固定資産税の日割り精算はどうなりますか。,How is the property tax apportioned at completion?,日割り精算,固定資産税【こていしさんぜい】の日割【ひわ】り精算【せいさん】はどうなりますか。,税金・基礎 - proration at closing,polite,daily proration,"<ruby class=""vocab"">日割り精算<rt>ひわりせいさん</rt></ruby>"
一月一日時点の所有者に課税されます。,Tax falls on whoever owns it on 1 January.,所有者,一月一日【いちがつついたち】時点【じてん】の所有者【しょゆうしゃ】に課税【かぜい】されます。,税金・基礎 - the assessment date,written,owner,"<ruby class=""vocab"">所有者<rt>しょゆうしゃ</rt></ruby>"
軽減措置の適用条件を教えてください。,Please tell me the conditions for the reduction.,軽減措置,軽減措置【けいげんそち】の適用条件【てきようじょうけん】を教【おし】えてください。,税金・基礎 - reliefs,polite,reduction measure,"<ruby class=""vocab"">軽減措置<rt>けいげんそち</rt></ruby>"
