Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
安い土地には理由があります。,Cheap land always has a reason.,理由,安【やす】い土地【とち】には理由【りゆう】があります。,落とし穴・基礎 - first principle,polite,reason,"<ruby class=""vocab"">理由<rt><span class=""pitch-l"">り</span><span class=""pitch-h"">ゆ</span><span class=""pitch-h"">う</span></rt></ruby>"
なぜ長年売れ残っているのか確認しましょう。,Let's find out why it has gone unsold for years.,長年,なぜ長年【ながねん】売【う】れ残【のこ】っているのか確認【かくにん】しましょう。,落とし穴・基礎 - ask why,polite,many years,"<ruby class=""vocab"">長年<rt><span class=""pitch-l"">な</span><span class=""pitch-h"">が</span><span class=""pitch-h"">ね</span><span class=""pitch-h"">ん</span></rt></ruby>"
表示価格だけでは総費用は分かりません。,The listed price alone doesn't tell you the total cost.,総費用,表示価格【ひょうじかかく】だけでは総費用【そうひよう】は分【わ】かりません。,落とし穴・基礎 - true cost,polite,total cost,"<ruby class=""vocab"">総費用<rt>そうひよう</rt></ruby>"
仲介手数料が土地代を上回ることもあります。,The commission can exceed the price of the land.,上回る,仲介手数料【ちゅうかいてすうりょう】が土地代【とちだい】を上回【うわまわ】ることもあります。,落とし穴・基礎 - cheap land trap,polite,to exceed,"<ruby class=""vocab"">上回る<rt><span class=""pitch-l"">う</span><span class=""pitch-h"">わ</span><span class=""pitch-h"">ま</span><span class=""pitch-h"">わ</span><span class=""pitch-l"">る</span></rt></ruby>"
低廉な空家等は手数料の上限が異なります。,For low-priced vacant properties the fee cap differs.,低廉,低廉【ていれん】な空家等【あきやとう】は手数料【てすうりょう】の上限【じょうげん】が異【こと】なります。,"落とし穴・基礎 - the 330,000 yen rule",written,low-priced,"<ruby class=""vocab"">低廉<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">い</span><span class=""pitch-h"">れ</span><span class=""pitch-h"">ん</span></rt></ruby>"
再建築不可なら住宅ローンは組めません。,"If rebuilding is prohibited, you can't get a mortgage.",住宅ローン,再建築不可【さいけんちくふか】なら住宅【じゅうたく】ローンは組【く】めません。,落とし穴・基礎 - unfinanceable,polite,home loan,"<ruby class=""vocab"">住宅ローン<rt>じゅうたくろーん</rt></ruby>"
農地は許可がなければ取得できません。,Farmland cannot be acquired without permission.,取得,農地【のうち】は許可【きょか】がなければ取得【しゅとく】できません。,落とし穴・基礎 - free farmland isn't free,written,acquisition,"<ruby class=""vocab"">取得<rt><span class=""pitch-l"">しゅ</span><span class=""pitch-h"">と</span><span class=""pitch-h"">く</span></rt></ruby>"
建築条件付きの土地は業者が指定されます。,"With construction conditions, the builder is fixed.",建築条件付き,建築条件付【けんちくじょうけんつ】きの土地【とち】は業者【ぎょうしゃ】が指定【してい】されます。,落とし穴・基礎 - builder tie-in,written,with construction conditions,"<ruby class=""vocab"">建築条件付き<rt>けんちくじょうけんつき</rt></ruby>"
契約前に重要事項説明を必ず受けてください。,Always take the important matters explanation before signing.,重要事項説明,契約前【けいやくまえ】に重要事項説明【じゅうようじこうせつめい】を必【かなら】ず受【う】けてください。,落とし穴・基礎 - your legal right,polite,important matters explanation,"<ruby class=""vocab"">重要事項説明<rt>じゅうようじこうせつめい</rt></ruby>"
手付金は解約時に戻らない場合があります。,The deposit may not be returned if you cancel.,手付金,手付金【てつけきん】は解約時【かいやくじ】に戻【もど】らない場合【ばあい】があります。,落とし穴・基礎 - deposit risk,written,earnest money deposit,"<ruby class=""vocab"">手付金<rt>てつけきん</rt></ruby>"
境界が確定していない土地は要注意です。,Land with unfixed boundaries needs caution.,要注意,境界【きょうかい】が確定【かくてい】していない土地【とち】は要注意【ようちゅうい】です。,落とし穴・基礎 - boundary risk,written,requires caution,"<ruby class=""vocab"">要注意<rt>ようちゅうい</rt></ruby>"
上下水道の引込みに数百万円かかることがあります。,Bringing in water and sewer can cost millions of yen.,引込み,上下水道【じょうげすいどう】の引込【ひきこ】みに数百万円【すうひゃくまんえん】かかることがあります。,落とし穴・基礎 - hidden cost,polite,service connection,"<ruby class=""vocab"">引込み<rt><span class=""pitch-l"">ひ</span><span class=""pitch-h"">き</span><span class=""pitch-h"">こ</span><span class=""pitch-h"">み</span></rt></ruby>"
地盤改良が必要になるかもしれません。,Ground improvement may turn out to be necessary.,地盤改良,地盤改良【じばんかいりょう】が必要【ひつよう】になるかもしれません。,落とし穴・基礎 - soft ground,polite,ground improvement,"<ruby class=""vocab"">地盤改良<rt>じばんかいりょう</rt></ruby>"
解体費用は買主負担になりますか。,Will demolition costs fall on the buyer?,解体費用,解体費用【かいたいひよう】は買主負担【かいぬしふたん】になりますか。,落とし穴・基礎 - who pays,polite,demolition cost,"<ruby class=""vocab"">解体費用<rt>かいたいひよう</rt></ruby>"
売却は非常に難しいと考えてください。,Assume that reselling will be very difficult.,売却,売却【ばいきゃく】は非常【ひじょう】に難【むずか】しいと考【かんが】えてください。,落とし穴・基礎 - no exit,polite,sale / disposal,"<ruby class=""vocab"">売却<rt><span class=""pitch-l"">ば</span><span class=""pitch-h"">い</span><span class=""pitch-h"">きゃ</span><span class=""pitch-h"">く</span></rt></ruby>"
