Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
この土地は都市計画区域内ですか。,Is this land inside an urban planning area?,都市計画区域,この土地【とち】は都市計画区域内【としけいかくくいきない】ですか。,法規制・基礎 - planning area,polite,urban planning area,"<span class=""vocab"">都市計画区域</span>"
非線引区域という意味を教えてください。,Please explain what a non-line-drawn area means.,非線引区域,非線引区域【ひせんびきくいき】という意味【いみ】を教【おし】えてください。,法規制・基礎 - non-line-drawn,polite,non-line-drawn area,"<ruby class=""vocab"">非線引区域<rt>ひせんびきくいき</rt></ruby>"
市街化調整区域では原則として家を建てられません。,In an urbanization control area you generally cannot build a house.,原則,市街化調整区域【しがいかちょうせいくいき】では原則【げんそく】として家【いえ】を建【た】てられません。,法規制・基礎 - the general rule,written,as a general rule,"<ruby class=""vocab"">原則<rt><span class=""pitch-l"">げ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">そ</span><span class=""pitch-h"">く</span></rt></ruby>"
建築確認申請は必要ですか。,Is a building confirmation application required?,建築確認申請,建築確認申請【けんちくかくにんしんせい】は必要【ひつよう】ですか。,法規制・基礎 - confirmation,polite,building confirmation,"<ruby class=""vocab"">建築確認申請<rt>けんちくかくにんしんせい</rt></ruby>"
接道義務を満たしていますか。,Does it satisfy the road frontage requirement?,接道義務,接道義務【せつどうぎむ】を満【み】たしていますか。,法規制・基礎 - frontage rule,polite,road frontage obligation,"<ruby class=""vocab"">接道義務<rt>せつどうぎむ</rt></ruby>"
敷地は道路に二メートル以上接する必要があります。,The site must front a road for at least two metres.,敷地,敷地【しきち】は道路【どうろ】に二【に】メートル以上【いじょう】接【せっ】する必要【ひつよう】があります。,法規制・基礎 - the 2m rule,written,building site,"<ruby class=""vocab"">敷地<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">き</span><span class=""pitch-h"">ち</span></rt></ruby>"
開発許可は必要でしょうか。,Is a development permit required?,開発許可,開発許可【かいはつきょか】は必要【ひつよう】でしょうか。,法規制・基礎 - development permit,polite,development permit,"<ruby class=""vocab"">開発許可<rt>かいはつきょか</rt></ruby>"
農地転用の許可が要りますか。,Is farmland conversion permission needed?,農地転用,農地転用【のうちてんよう】の許可【きょか】が要【い】りますか。,法規制・基礎 - farmland conversion,polite,farmland conversion,"<ruby class=""vocab"">農地転用<rt>のうちてんよう</rt></ruby>"
地目変更の手続きが必要です。,A land category change procedure is required.,地目変更,地目変更【ちもくへんこう】の手続【てつづ】きが必要【ひつよう】です。,法規制・基礎 - category change,written,land category change,"<ruby class=""vocab"">地目変更<rt>ちもくへんこう</rt></ruby>"
建築基準法に適合していますか。,Does it comply with the Building Standards Act?,適合,建築基準法【けんちくきじゅんほう】に適合【てきごう】していますか。,法規制・基礎 - compliance,polite,conformity,"<ruby class=""vocab"">適合<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">き</span><span class=""pitch-h"">ご</span><span class=""pitch-h"">う</span></rt></ruby>"
用途制限はありますか。,Are there any use restrictions?,用途制限,用途制限【ようとせいげん】はありますか。,法規制・基礎 - use limits,polite,use restriction,"<ruby class=""vocab"">用途制限<rt>ようとせいげん</rt></ruby>"
平屋で延べ面積は四十平米の予定です。,I'm planning a single-storey house of 40 square metres.,延べ面積,平屋【ひらや】で延【の】べ面積【めんせき】は四十平米【よんじゅうへいべい】の予定【よてい】です。,法規制・基礎 - your plan,polite,total floor area,"<ruby class=""vocab"">延べ面積<rt>のべめんせき</rt></ruby>"
省エネ基準への適合が義務化されました。,Compliance with the energy efficiency standard became mandatory.,省エネ基準,省【しょう】エネ基準【きじゅん】への適合【てきごう】が義務化【ぎむか】されました。,法規制・基礎 - energy standard,written,energy efficiency standard,"<ruby class=""vocab"">省エネ基準<rt>しょうえねきじゅん</rt></ruby>"
浄化槽の設置が必要になります。,A septic tank will need to be installed.,浄化槽,浄化槽【じょうかそう】の設置【せっち】が必要【ひつよう】になります。,法規制・基礎 - no sewer,polite,septic tank,"<ruby class=""vocab"">浄化槽<rt>じょうかそう</rt></ruby>"
二十二条区域に指定されていますか。,Is it designated as an Article 22 zone?,二十二条区域,二十二条区域【にじゅうにじょうくいき】に指定【してい】されていますか。,法規制・基礎 - fire spec zone,polite,Article 22 fire zone,"<ruby class=""vocab"">二十二条区域<rt>にじゅうにじょうくいき</rt></ruby>"
