Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
ユーズメモ用いる之,Use useMemo on it,用,ユーズメモ用【もち】いる之【これ】,Action - Use,wenyan,use,"<ruby class=""vocab"">用<rt>もちいる</rt></ruby>"
既存ユーティル用いる. 新規作成不要,Use existing util. No need to create new,用,既存【きそん】ユーティル用【もち】いる. 新規【しんき】作成【さくせい】不要【ふよう】,Action - Use,wenyan,use,"<ruby class=""vocab"">用<rt>もちいる</rt></ruby>"
エラー時ナル返す,Return null on error,返,エラー時【じ】ナル返【かえ】す,Action - Return,wenyan,return,"<ruby class=""vocab"">返<rt>かえす</rt></ruby>"
早期リターン用いる. 深いネスティング避ける,Use early return. Avoid deep nesting,返,早期【そうき】リターン用【もち】いる. 深【ふか】いネスティング避【さ】ける,Action - Return,wenyan,return,"<ruby class=""vocab"">返<rt>かえす</rt></ruby>"
コールバック以て結果渡す,Pass result via callback,渡,コールバック以【もっ】て結果【けっか】渡【わた】す,Action - Pass,wenyan,pass / transmit,"<ruby class=""vocab"">渡<rt>わたす</rt></ruby>"
プロップス以て子コンポーネント引数渡す,Pass args to child component via props,渡,プロップス以【もっ】て子【こ】コンポーネント引数【ひきすう】渡【わた】す,Action - Pass,wenyan,pass / transmit,"<ruby class=""vocab"">渡<rt>わたす</rt></ruby>"
API呼ぶ前にオース確認す,Check auth before calling API,呼,API呼【よ】ぶ前【まえ】にオース確認【かくにん】す,Action - Call,wenyan,call / invoke,"<ruby class=""vocab"">呼<rt>よぶ</rt></ruby>"
外部サービス呼ぶ. タイムアウト設定要,Call external service. Need timeout setting,呼,外部【がいぶ】サービス呼【よ】ぶ. タイムアウト設定【せってい】要【よう】,Action - Call,wenyan,call / invoke,"<ruby class=""vocab"">呼<rt>よぶ</rt></ruby>"
セッショントークンをレディス存す,Store session token in Redis,存,セッショントークンをレディス存【ぞん】す,Action - Store,wenyan,store / save,"<ruby class=""vocab"">存<rt>ぞんす</rt></ruby>"
ログをDB存す. ファイル不可,Store logs in DB. File is not allowed,存,ログをDB存【ぞん】す. ファイル不可【ふか】,Action - Store,wenyan,store / save,"<ruby class=""vocab"">存<rt>ぞんす</rt></ruby>"
旧エンドポイント削. ブイツー以て代わる,Delete old endpoint. Replace with v2,削,旧【きゅう】エンドポイント削【さく】. ブイツー以【もっ】て代【か】わる,Action - Delete,wenyan,delete / remove,"<ruby class=""vocab"">削<rt>さく</rt></ruby>"
デッドコード削. 冗也,Delete dead code. It is redundant,削,デッドコード削【さく】. 冗【じょう】也【なり】,Action - Delete,wenyan,delete / remove,"<ruby class=""vocab"">削<rt>さく</rt></ruby>"
ユーザーズ表イーメール列で査す,Query users table by email column,査,ユーザーズ表【ひょう】イーメール列【れつ】で査【さ】す,Action - Query,wenyan,query / investigate,"<ruby class=""vocab"">査<rt>さす</rt></ruby>"
DB査す前にキャッシュ確認,Check cache before querying DB,査,DB査【さ】す前【まえ】にキャッシュ確認【かくにん】,Action - Query,wenyan,query / investigate,"<ruby class=""vocab"">査<rt>さす</rt></ruby>"
シンク改めエイシンク. ブロッキング避ける,Change sync to async. Avoid blocking,改,シンク改【あらた】めエイシンク. ブロッキング避【さ】ける,Action - Change,wenyan,change / modify,"<ruby class=""vocab"">改<rt>あらためる</rt></ruby>"
バー改めコンスト. 不変要,Change var to const. Immutability needed,改,バー改【あらた】めコンスト. 不変【ふへん】要【よう】,Action - Change,wenyan,change / modify,"<ruby class=""vocab"">改<rt>あらためる</rt></ruby>"
入力検証加える. XSS避ける,Add input validation. Avoid XSS,加,入力【にゅうりょく】検証【けんしょう】加【くわ】える. XSS避【さ】ける,Action - Add,wenyan,add,"<ruby class=""vocab"">加<rt>くわえる</rt></ruby>"
レートリミター加える. DDoS対策,Add rate limiter. DDoS countermeasure,加,レートリミター加【くわ】える. DDoS対策【たいさく】,Action - Add,wenyan,add,"<ruby class=""vocab"">加<rt>くわえる</rt></ruby>"
新しい物参照致す再描,New object reference causes re-render,致,新【あたら】しい物【もの】参照【さんしょう】致【いた】す再描【さいびょう】,Action - Cause,wenyan,cause / bring about,"<ruby class=""vocab"">致<rt>いたす</rt></ruby>"
エヌプラスワンクエリ致す遅延,N+1 query causes latency,致,エヌプラスワンクエリ致【いた】す遅延【ちえん】,Action - Cause,wenyan,cause / bring about,"<ruby class=""vocab"">致<rt>いたす</rt></ruby>"
かた欠く. タイプスクリプトストリクト有効にす,Types missing. Enable TypeScript strict,欠,かた欠【か】く. タイプスクリプトストリクト有効【ゆうこう】にす,Action - Lack,wenyan,lack / missing,"<ruby class=""vocab"">欠<rt>かく</rt></ruby>"
テストカバレッジ欠く. CI通過不可,Test coverage lacking. Cannot pass CI,欠,テストカバレッジ欠【か】く. CI通過【つうか】不可【ふか】,Action - Lack,wenyan,lack / missing,"<ruby class=""vocab"">欠<rt>かく</rt></ruby>"
ミューテーション避ける. 純粋関数用いる,Avoid mutation. Use pure functions,避,ミューテーション避【さ】ける. 純粋【じゅんすい】関数【かんすう】用【もち】いる,Action - Avoid,wenyan,avoid,"<ruby class=""vocab"">避<rt>さける</rt></ruby>"
エニーかた避ける. アンノウン以て代わる,Avoid any type. Replace with unknown,避,エニーかた避【さ】ける. アンノウン以【もっ】て代【か】わる,Action - Avoid,wenyan,avoid,"<ruby class=""vocab"">避<rt>さける</rt></ruby>"
