Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
問題なし！リリースOK。,LGTM! Ship it.,問題なし,問題【もんだい】なし！リリースOK。,Code Review - Approval,polite,no problem,"<ruby class=""vocab"">問題なし<rt>もんだいなし</rt></ruby>"
細かい点ですが、この変数の名前変更を検討してください。,Nit: consider renaming this variable.,検討,細【こま】かい点【てん】ですが、この変数【へんすう】の名前【なまえ】変更【へんこう】を検討【けんとう】してください。,Code Review - Nit,polite,consider,"<ruby class=""vocab"">検討<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span><span class=""pitch-h"">う</span></rt></ruby>"
軽微ですが、ここにコメントを追加してください。,Minor: add a comment here.,軽微,軽微【けいび】ですが、ここにコメントを追加【ついか】してください。,Code Review - Minor,polite,minor,"<ruby class=""vocab"">軽微<rt><span class=""pitch-h"">け</span><span class=""pitch-l"">い</span><span class=""pitch-l"">び</span></rt></ruby>"
これは重大です。メモリリークを引き起こします。,Major: this will cause a memory leak.,重大,これは重大【じゅうだい】です。メモリリークを引【ひ】き起【お】こします。,Code Review - Major,polite,serious,"<ruby class=""vocab"">重大<rt><span class=""pitch-l"">じゅ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">い</span></rt></ruby>"
これはブロッカーです。まずセキュリティの問題を修正してください。,Blocker: fix the security issue first.,セキュリティ,これはブロッカーです。まずセキュリティの問題【もんだい】を修正【しゅうせい】してください。,Code Review - Security,polite,security,"<ruby class=""vocab"">セキュリティ<rt><span class=""pitch-l"">せ</span><span class=""pitch-h"">きゅ</span><span class=""pitch-l"">り</span><span class=""pitch-l"">てぃ</span></rt></ruby>"
配列の代わりにマップを使うことを提案します。,Suggestion: use a map instead of array.,提案,配列【はいれつ】の代【か】わりにマップを使【つか】うことを提案【ていあん】します。,Code Review - Suggestion,polite,propose,"<ruby class=""vocab"">提案<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">い</span><span class=""pitch-h"">あ</span><span class=""pitch-h"">ん</span></rt></ruby>"
なぜこのアプローチを選んだのですか？,Question: why did you choose this approach?,アプローチ,なぜこのアプローチを選【えら】んだのですか？,Communication - Question,polite,approach,"<ruby class=""vocab"">アプローチ<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">ぷ</span><span class=""pitch-h"">ろ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ち</span></rt></ruby>"
パフォーマンスについて懸念があります。,I have a concern about performance.,懸念,パフォーマンスについて懸念【けねん】があります。,Communication - Concern,polite,concern,"<ruby class=""vocab"">懸念<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">ね</span><span class=""pitch-h"">ん</span></rt></ruby>"
ここで定数を使うことを検討してください。,Consider using a constant here.,定数,ここで定数【ていすう】を使【つか】うことを検討【けんとう】してください。,Code Review - Suggestion,polite,constant,"<ruby class=""vocab"">定数<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">い</span><span class=""pitch-h"">す</span><span class=""pitch-l"">う</span></rt></ruby>"
代わりに再帰を使うこともできます。,Alternatively we could use recursion.,再帰,代【か】わりに再帰【さいき】を使【つか】うこともできます。,Code Review - Alternative,polite,recursive,"<ruby class=""vocab"">再帰<rt><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span><span class=""pitch-l"">き</span></rt></ruby>"
エラーハンドリングを追加してください。任意です。,Optional: add more error handling.,任意,エラーハンドリングを追加【ついか】してください。任意【にんい】です。,Code Review - Optional,polite,optional,"<ruby class=""vocab"">任意<rt><span class=""pitch-l"">に</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">い</span></rt></ruby>"
この変更にはテストを追加してください。必須です。,Required: add tests for this change.,必須,この変更【へんこう】にはテストを追加【ついか】してください。必須【ひっす】です。,Code Review - Required,polite,required,"<ruby class=""vocab"">必須<rt><span class=""pitch-l"">ひ</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">す</span></rt></ruby>"
最新のコミットで対応しました。,Addressed in the latest commit.,対応,最新【さいしん】のコミットで対応【たいおう】しました。,Code Review - Addressed,polite,handle/respond,"<ruby class=""vocab"">対応<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">い</span><span class=""pitch-h"">お</span><span class=""pitch-h"">う</span></rt></ruby>"
解決済みとしてマークしました。,Marked as resolved.,解決済み,解決済【かいけつず】みとしてマークしました。,Code Review - Resolved,polite,resolved,"<ruby class=""vocab"">解決済み<rt>かいけつずみ</rt></ruby>"
