Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
ログイン時に500エラーが発生する。,500 error occurs on login.,発生する,ログイン時【じ】に500エラーが発生【はっせい】する。,Ticket - Bug Report,formal,occurs (written),"<ruby class=""vocab"">発生する<rt>はっせいする</rt></ruby>"
再現手順を以下に記載する。,Reproduction steps are noted below.,再現手順,再現【さいげん】手順【てじゅん】を以下【いか】に記載【きさい】する。,Ticket - Bug Report,formal,reproduction steps,"<ruby class=""vocab"">再現手順<rt>さいげんてじゅん</rt></ruby>"
期待値：エラーメッセージが表示されること。,Expected: an error message is shown.,期待値,期待値【きたいち】：エラーメッセージが表示【ひょうじ】されること。,Ticket - Bug Report,formal,expected value/behavior,"<ruby class=""vocab"">期待値<rt>きたいち</rt></ruby>"
実際の挙動：画面が真っ白になる。,Actual behavior: the screen goes blank.,挙動,実際【じっさい】の挙動【きょどう】：画面【がめん】が真【ま】っ白【しろ】になる。,Ticket - Bug Report,formal,behavior,"<ruby class=""vocab"">挙動<rt><span class=""pitch-l"">きょ</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">う</span></rt></ruby>"
影響範囲：全ユーザーの約5パーセント。,Impact: roughly 5% of all users.,約,影響【えいきょう】範囲【はんい】：全【ぜん】ユーザーの約【やく】5パーセント。,Ticket - Bug Report,formal,approximately,"<ruby class=""vocab"">約<rt>やく</rt></ruby>"
暫定対応としてキャッシュをクリアした。,"As a stopgap, cleared the cache.",暫定対応,暫定【ざんてい】対応【たいおう】としてキャッシュをクリアした。,Ticket - Response,formal,stopgap response,"<ruby class=""vocab"">暫定対応<rt>ざんていたいおう</rt></ruby>"
恒久対応は別チケットで管理する。,The permanent fix is tracked in a separate ticket.,恒久対応,恒久【こうきゅう】対応【たいおう】は別【べつ】チケットで管理【かんり】する。,Ticket - Response,formal,permanent fix,"<ruby class=""vocab"">恒久対応<rt>こうきゅうたいおう</rt></ruby>"
対応方針：バリデーションを追加する。,Approach: add validation.,対応方針,対応【たいおう】方針【ほうしん】：バリデーションを追加【ついか】する。,Ticket - Response,formal,response policy,"<ruby class=""vocab"">対応方針<rt>たいおうほうしん</rt></ruby>"
完了条件：テストが全て通ること。,Done when: all tests pass.,完了条件,完了【かんりょう】条件【じょうけん】：テストが全【すべ】て通【とお】ること。,Ticket - Definition,formal,completion criteria,"<ruby class=""vocab"">完了条件<rt>かんりょうじょうけん</rt></ruby>"
優先度：高。今週中に対応する。,Priority: high. Handle this week.,今週中,優先度【ゆうせんど】：高【こう】。今週中【こんしゅうちゅう】に対応【たいおう】する。,Ticket - Priority,formal,within this week,"<ruby class=""vocab"">今週中<rt>こんしゅうちゅう</rt></ruby>"
原因：環境変数の設定漏れ。,Cause: missing environment variable.,設定漏れ,原因【げんいん】：環境【かんきょう】変数【へんすう】の設定【せってい】漏【も】れ。,Ticket - Analysis,formal,missing configuration,"<ruby class=""vocab"">設定漏れ<rt>せっていもれ</rt></ruby>"
詳細は下記スレッドを参照。,See the thread below for details.,下記スレッド,詳細【しょうさい】は下記【かき】スレッドを参照【さんしょう】。,Ticket - Reference,formal,the thread below,"<ruby class=""vocab"">下記スレッド<rt>かきすれっど</rt></ruby>"
関連チケット：AUTH-123。,Related ticket: AUTH-123.,関連チケット,関連【かんれん】チケット：AUTH-123。,Ticket - Reference,formal,related ticket,"<ruby class=""vocab"">関連チケット<rt>かんれんちけっと</rt></ruby>"
一旦保留とする。,Putting this on hold for now.,保留,一旦【いったん】保留【ほりゅう】とする。,Ticket - Status,formal,on hold,"<ruby class=""vocab"">保留<rt><span class=""pitch-l"">ほ</span><span class=""pitch-h"">りゅ</span><span class=""pitch-h"">う</span></rt></ruby>"
