Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
APIの仕様書を最新の状態に保ってください。,Please keep the API specification document up to date.,仕様書,APIの仕様書【しようしょ】を最新【さいしん】の状態【じょうたい】に保【たも】ってください。,Documentation - Specification,polite,specification document,"<ruby class=""vocab"">仕様書<rt>しようしょ</rt></ruby>"
設計書よりもテストの方が情報の腐敗に強いです。,Tests are more resistant to information decay than design documents.,設計書,設計書【せっけいしょ】よりもテストの方【ほう】が情報【じょうほう】の腐敗【ふはい】に強【つよ】いです。,Documentation - Design,polite,design document,"<ruby class=""vocab"">設計書<rt>せっけいしょ</rt></ruby>"
READMEに使い方の例を追加してください。,Please add usage examples to the README.,使い方,リードミーに使【つか】い方【かた】の例【れい】を追加【ついか】してください。,Documentation - Usage,polite,usage / how to use,"<ruby class=""vocab"">使い方<rt>つかいかた</rt></ruby>"
技術文書はコードと一緒にリポジトリに置くべきです。,Technical documents should be placed in the repository together with the code.,技術文書,技術文書【ぎじゅつぶんしょ】はコードと一緒【いっしょ】にリポジトリに置【お】くべきです。,Documentation - Technical,polite,technical document,"<ruby class=""vocab"">技術文書<rt>ぎじゅつぶんしょ</rt></ruby>"
CHANGELOGに変更履歴を記載してください。,Please document the change history in the CHANGELOG.,変更履歴,チェンジログに変更履歴【へんこうりれき】を記載【きさい】してください。,Documentation - Changelog,polite,change history,"<ruby class=""vocab"">変更履歴<rt>へんこうりれき</rt></ruby>"
手順書を更新して新しいデプロイフローを反映させました。,I updated the procedure document to reflect the new deploy flow.,手順書,手順書【てじゅんしょ】を更新【こうしん】して新【あたら】しいデプロイフローを反映【はんえい】させました。,Documentation - Procedure,polite,procedure document,"<ruby class=""vocab"">手順書<rt>てじゅんしょ</rt></ruby>"
古いドキュメントが残っているとエージェントが誤った情報を参照します。,"If old documentation remains, agents will reference incorrect information.",参照,古【ふる】いドキュメントが残【のこ】っているとエージェントが誤【あやま】った情報【じょうほう】を参照【さんしょう】します。,Documentation - Reference,polite,reference,"<ruby class=""vocab"">参照<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">しょ</span><span class=""pitch-h"">う</span></rt></ruby>"
ADRで意思決定の経緯を記録しましょう。,Let's record the decision-making process with ADRs.,経緯,ADRで意思決定【いしけってい】の経緯【けいい】を記録【きろく】しましょう。,Documentation - ADR,polite,background / history,"<ruby class=""vocab"">経緯<rt><span class=""pitch-h"">け</span><span class=""pitch-l"">い</span><span class=""pitch-l"">い</span></rt></ruby>"
リリースノートの解説記事を技術ブログに投稿しました。,I posted an explanatory article about the release notes on the tech blog.,技術ブログ,リリースノートの解説【かいせつ】記事【きじ】を技術【ぎじゅつ】ブログに投稿【とうこう】しました。,Blog - Publishing,polite,tech blog,"<ruby class=""vocab"">技術ブログ<rt>ぎじゅつぶろぐ</rt></ruby>"
この記事にベンチマーク結果のまとめが載っています。,This article has a summary of the benchmark results.,記事,この記事【きじ】にベンチマーク結果【けっか】のまとめが載【の】っています。,Blog - Article,polite,article,"<ruby class=""vocab"">記事<rt><span class=""pitch-h"">き</span><span class=""pitch-l"">じ</span></rt></ruby>"
