Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
そのアプローチに同意します。,I agree with that approach.,同意,そのアプローチに同意【どうい】します。,Communication - Agreement,polite,agree,"<ruby class=""vocab"">同意<rt><span class=""pitch-l"">ど</span><span class=""pitch-h"">う</span><span class=""pitch-h"">い</span></rt></ruby>"
すみませんが、この点には異議があります。,"Sorry, but I disagree on this point.",異議,すみませんが、この点【てん】には異議【いぎ】があります。,Communication - Disagreement,polite,objection,"<ruby class=""vocab"">異議<rt><span class=""pitch-h"">い</span><span class=""pitch-l"">ぎ</span></rt></ruby>"
まずこれを試すことを提案します。,I suggest we try this first.,提案,まずこれを試【ため】すことを提案【ていあん】します。,Communication - Suggestion,polite,propose,"<ruby class=""vocab"">提案<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">い</span><span class=""pitch-h"">あ</span><span class=""pitch-h"">ん</span></rt></ruby>"
TypeScriptの使用を推奨します。,I recommend using TypeScript.,推奨,TypeScriptの使用【しよう】を推奨【すいしょう】します。,Communication - Recommendation,polite,recommended,"<ruby class=""vocab"">推奨<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">い</span><span class=""pitch-h"">しょ</span><span class=""pitch-h"">う</span></rt></ruby>"
別の解決策を提案します。,I propose a different solution.,提案,別【べつ】の解決策【かいけつさく】を提案【ていあん】します。,Communication - Proposal,polite,propose,"<ruby class=""vocab"">提案<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">い</span><span class=""pitch-h"">あ</span><span class=""pitch-h"">ん</span></rt></ruby>"
これについて意見を聞かせてもらえますか？,Can you share your opinion on this?,意見,これについて意見【いけん】を聞【き】かせてもらえますか？,Communication - Opinion,polite,opinion,"<ruby class=""vocab"">意見<rt><span class=""pitch-h"">い</span><span class=""pitch-l"">け</span><span class=""pitch-l"">ん</span></rt></ruby>"
このアプローチについて何か考えはありますか？,Any thoughts on this approach?,考え,このアプローチについて何【なに】か考【かんが】えはありますか？,Communication - Opinion,polite,thought,"<ruby class=""vocab"">考え<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">が</span><span class=""pitch-l"">え</span></rt></ruby>"
フィードバックに感謝します。,I appreciate your feedback.,フィードバック,フィードバックに感謝【かんしゃ】します。,Communication - Feedback,polite,feedback,"<ruby class=""vocab"">フィードバック<rt><span class=""pitch-l"">ふぃ</span><span class=""pitch-h"">ー</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">ば</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">く</span></rt></ruby>"
スケーラビリティに懸念があります。,I have a concern about scalability.,懸念,スケーラビリティに懸念【けねん】があります。,Communication - Concern,polite,concern,"<ruby class=""vocab"">懸念<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">ね</span><span class=""pitch-h"">ん</span></rt></ruby>"
これに問題があります。,I see an issue with this.,問題,これに問題【もんだい】があります。,Communication - Issue,polite,problem/issue,"<ruby class=""vocab"">問題<rt><span class=""pitch-l"">も</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">い</span></rt></ruby>"
