Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
今月の締めは完了しました。,This month's closing is complete.,締め,今月【こんげつ】の締【し】めは完了【かんりょう】しました。,締め - closing (period close),polite,closing (period close),
締め日は毎月末日です。,The closing date is the last day of each month.,締め日,締【し】め日【び】は毎月【まいつき】末日【まつじつ】です。,締め - closing date,polite,closing date,
この会計期間の売上を確認します。,I'll check the sales for this accounting period.,会計期間,この会計期間【かいけいきかん】の売上【うりあげ】を確認【かくにん】します。,締め - accounting period,polite,accounting period,
月次の集計を進めています。,We are working on the monthly aggregation.,月次,月次【げつじ】の集計【しゅうけい】を進【すす】めています。,締め - monthly,polite,monthly,
年次の報告書を準備します。,We prepare the yearly report.,年次,年次【ねんじ】の報告【ほうこく】書【しょ】を準備【じゅんび】します。,締め - yearly,polite,yearly,
来週から決算の作業に入ります。,We start the period-end settlement work next week.,決算,来週【らいしゅう】から決算【けっさん】の作業【さぎょう】に入【い】ります。,締め - settlement / period-end close,polite,settlement / period-end close,
前月の繰越を計上します。,We record the carry-over from last month.,繰越,前月【ぜんげつ】の繰越【くりこし】を計上【けいじょう】します。,締め - carry-over,polite,carry-over,
期首の残高を登録します。,We register the balance at the start of the period.,期首,期首【きしゅ】の残高【ざんだか】を登録【とうろく】します。,締め - start of period,polite,start of period,
期末に在庫を評価します。,We evaluate inventory at the end of the period.,期末,期末【きまつ】に在庫【ざいこ】を評価【ひょうか】します。,締め - end of period,polite,end of period,
計上の期ずれに注意します。,We watch out for period mismatch in recording.,期ずれ,計上【けいじょう】の期【き】ずれに注意【ちゅうい】します。,締め - period mismatch,polite,period mismatch,
先月分まで遡及して修正します。,We correct it retroactively back to last month.,遡及,先月【せんげつ】分【ぶん】まで遡及【そきゅう】して修正【しゅうせい】します。,締め - retroactive,polite,retroactive,
今月は締め直しが発生しました。,A re-closing occurred this month.,締め直し,今月【こんげつ】は締【し】め直【なお】しが発生【はっせい】しました。,締め - re-closing (reopen),polite,re-closing (reopen),
数値の確定をお願いします。,Please finalize the figures.,確定,数値【すうち】の確定【かくてい】をお願【ねが】いします。,締め - fix / finalize,polite,fix / finalize,
期末のスナップショットを保存します。,We save the snapshot at period-end.,スナップショット,期末【きまつ】のスナップショットを保存【ほぞん】します。,締め - snapshot,polite,snapshot,
