Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
この案件の工事原価を計算します。,I will calculate the construction cost for this project.,工事原価,この案件【あんけん】の工事原価【こうじげんか】を計算【けいさん】します。,工事原価 - construction cost,polite,construction cost,
まだ完成していない分は未成工事支出金に計上します。,The unfinished portion is recorded as construction work-in-process.,未成工事支出金,まだ完成【かんせい】していない分【ぶん】は未成工事支出金【みせいこうじししゅつきん】に計上【けいじょう】します。,工事原価 - construction work-in-process (WIP),polite,construction work-in-process (WIP),
引き渡し後に完成工事原価へ振り替えます。,"After handover, we transfer it to completed-construction cost.",完成工事原価,引【ひ】き渡【わた】し後【あと】に完成工事原価【かんせいこうじげんか】へ振【ふ】り替【か】えます。,工事原価 - completed-construction cost,polite,completed-construction cost,
工事台帳で費用の内訳を確認します。,I check the cost breakdown in the project cost ledger.,工事台帳,工事台帳【こうじだいちょう】で費用【ひよう】の内訳【うちわけ】を確認【かくにん】します。,工事原価 - project cost ledger,polite,project cost ledger,
今月は材料費が予算を超えています。,This month the material cost has exceeded the budget.,材料費,今月【こんげつ】は材料費【ざいりょうひ】が予算【よさん】を超【こ】えています。,工事原価 - material cost,polite,material cost,
作業員の労務費を毎月集計します。,We total up the workers' labor cost every month.,労務費,作業【さぎょう】員【いん】の労務費【ろうむひ】を毎月【まいつき】集計【しゅうけい】します。,工事原価 - labor cost,polite,labor cost,
下請けへの外注費を計上します。,We record the subcontract cost paid to the subcontractor.,外注費,下請【したう】けへの外注費【がいちゅうひ】を計上【けいじょう】します。,工事原価 - subcontract cost,polite,subcontract cost,
共通の経費を各工事に振り分けます。,We distribute the shared expenses across each project.,経費,共通【きょうつう】の経費【けいひ】を各【かく】工事【こうじ】に振【ふ】り分【わ】けます。,工事原価 - expenses,polite,expenses,
共通費は面積で按分して計上します。,Common costs are apportioned by floor area and recorded.,按分,共通【きょうつう】費【ひ】は面積【めんせき】で按分【あんぶん】して計上【けいじょう】します。,工事原価 - apportionment,polite,apportionment,
間接費を各案件に配賦します。,We allocate the indirect costs to each project.,配賦,間接【かんせつ】費【ひ】を各【かく】案件【あんけん】に配賦【はいふ】します。,工事原価 - cost allocation,polite,cost allocation,
実績原価と予算を比較します。,We compare the actual cost against the budget.,実績原価,実績原価【じっせきげんか】と予算【よさん】を比較【ひかく】します。,工事原価 - actual cost,polite,actual cost,
着工前に実行予算を作成します。,We prepare the execution budget before starting construction.,実行予算,着工【ちゃっこう】前【まえ】に実行予算【じっこうよさん】を作成【さくせい】します。,工事原価 - execution budget,polite,execution budget,
月末に資材の棚卸を行います。,We perform a stocktaking of materials at month-end.,棚卸,月末【げつまつ】に資材【しざい】の棚卸【たなおろし】を行【おこな】います。,工事原価 - stocktaking,polite,stocktaking,
