Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
この費用は工事案件に紐づく形で管理します。,This cost is managed in a way that is linked to the construction project.,紐づく,この費用【ひよう】は工事【こうじ】案件【あんけん】に紐【ひも】づく形【かたち】で管理【かんり】します。,議論 - be linked to,polite,be linked to,
受注が売上計上の起点になります。,The order becomes the starting point for revenue recognition.,起点,受注【じゅちゅう】が売上【うりあげ】計上【けいじょう】の起点【きてん】になります。,議論 - origin / starting point,polite,origin / starting point,
各現場の予算は独立して管理します。,Each site's budget is managed independently.,独立,各【かく】現場【げんば】の予算【よさん】は独立【どくりつ】して管理【かんり】します。,議論 - independent,polite,independent,
請求書は明細単位で確認します。,We check the invoice per line item.,明細単位,請求【せいきゅう】書【しょ】は明細単位【めいさいたんい】で確認【かくにん】します。,議論 - per line item,polite,per line item,
経費の二重計上にご注意ください。,Please be careful of double recognition of expenses.,二重計上,経費【けいひ】の二重計上【にじゅうけいじょう】にご注意【ちゅうい】ください。,議論 - double recognition,polite,double recognition,
今月の計上漏れがないか確認します。,We check whether there is any missed recognition this month.,計上漏れ,今月【こんげつ】の計上漏【けいじょうも】れがないか確認【かくにん】します。,議論 - missed recognition,polite,missed recognition,
この取引は月跨ぎになります。,This transaction spans across months.,月跨ぎ,この取引【とりひき】は月跨【つきまた】ぎになります。,議論 - crossing months (period spanning),polite,crossing months (period spanning),
対象となる費用の洗い出しを行います。,We carry out an enumeration of the applicable costs.,洗い出し,対象【たいしょう】となる費用【ひよう】の洗【あら】い出【だ】しを行【おこな】います。,議論 - enumeration / identification,polite,enumeration / identification,
経理と認識合わせをしておきます。,I will get aligned with accounting beforehand.,認識合わせ,経理【けいり】と認識合【にんしきあ】わせをしておきます。,議論 - getting aligned,polite,getting aligned,
金額が未確定なので仮計上します。,"Since the amount is not yet finalized, we record it as a provisional recognition.",仮計上,金額【きんがく】が未【み】確定【かくてい】なので仮計上【かりけいじょう】します。,議論 - provisional recognition,polite,provisional recognition,
支払いは本社一括で行います。,Payments are made consolidated at headquarters.,本社一括,支払【しはら】いは本社一括【ほんしゃいっかつ】で行【おこな】います。,議論 - headquarters-consolidated,polite,headquarters-consolidated,
入金と請求の対応付けを確認します。,We check the mapping between payments and invoices.,対応付け,入金【にゅうきん】と請求【せいきゅう】の対応付【たいおうづ】けを確認【かくにん】します。,議論 - mapping / association,polite,mapping / association,
