Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
新規のお客様から引合をいただきました。,We received an inquiry from a new customer.,引合,新規【しんき】のお客様【きゃくさま】から引合【ひきあい】をいただきました。,業務フロー - inquiry / sales lead,polite,inquiry / sales lead,
見積を作成してお送りします。,I will prepare a quote and send it to you.,見積,見積【みつもり】を作成【さくせい】してお送【おく】りします。,業務フロー - quote / estimate,polite,quote / estimate,
先月の受注が増えました。,Orders received increased last month.,受注,先月【せんげつ】の受注【じゅちゅう】が増【ふ】えました。,業務フロー - order received,polite,order received,
来週、契約を締結します。,We will conclude the contract next week.,契約,来週【らいしゅう】、契約【けいやく】を締結【ていけつ】します。,業務フロー - contract,polite,contract,
来月から着工の予定です。,Construction is scheduled to start next month.,着工,来月【らいげつ】から着工【ちゃっこう】の予定【よてい】です。,業務フロー - start of construction,polite,start of construction,
役務提供が完了した時点で計上します。,We record it at the point when service delivery is completed.,役務提供,役務提供【えきむていきょう】が完了【かんりょう】した時点【じてん】で計上【けいじょう】します。,業務フロー - service delivery,polite,service delivery,
今月の出来高で請求します。,We will bill based on this month's progress.,出来高,今月【こんげつ】の出来高【できだか】で請求【せいきゅう】します。,業務フロー - progress / earned value,polite,progress / earned value,
お客様の検収が終わりました。,The customer's acceptance inspection is finished.,検収,お客様【きゃくさま】の検収【けんしゅう】が終【お】わりました。,業務フロー - acceptance / inspection,polite,acceptance / inspection,
納品書を添付してお送りします。,I will attach the delivery slip and send it.,納品書,納品書【のうひんしょ】を添付【てんぷ】してお送【おく】りします。,業務フロー - delivery slip,polite,delivery slip,
今週末に引渡の予定です。,The handover is scheduled for this weekend.,引渡,今週末【こんしゅうまつ】に引渡【ひきわたし】の予定【よてい】です。,業務フロー - handover,polite,handover,
工事が完成しました。,The construction work has been completed.,完成,工事【こうじ】が完成【かんせい】しました。,業務フロー - completion,polite,completion,
必要な資材を発注します。,We will place a purchase order for the needed materials.,発注,必要【ひつよう】な資材【しざい】を発注【はっちゅう】します。,業務フロー - place a purchase order,polite,place a purchase order,
発注書を作成して送付します。,I will prepare the purchase order document and send it.,発注書,発注書【はっちゅうしょ】を作成【さくせい】して送付【そうふ】します。,業務フロー - purchase order (document),polite,purchase order (document),
今月の仕入が増えました。,Our purchasing increased this month.,仕入,今月【こんげつ】の仕入【しいれ】が増【ふ】えました。,業務フロー - purchasing / procurement,polite,purchasing / procurement,
今回は分納で対応します。,This time we will handle it with split delivery.,分納,今回【こんかい】は分納【ぶんのう】で対応【たいおう】します。,業務フロー - split delivery,polite,split delivery,
発注残を確認しておきます。,I will check the order backlog in advance.,発注残,発注残【はっちゅうざん】を確認【かくにん】しておきます。,業務フロー - order backlog,polite,order backlog,
月末に請求書を発行します。,We will issue the invoice at the end of the month.,請求書,月末【げつまつ】に請求書【せいきゅうしょ】を発行【はっこう】します。,業務フロー - invoice (issued),polite,invoice (issued),
取引先からの被請求書を処理します。,We will process the received invoice from the supplier.,被請求書,取引【とりひき】先【さき】からの被請求書【ひせいきゅうしょ】を処理【しょり】します。,業務フロー - received invoice (supplier bill),polite,received invoice (supplier bill),
