Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
今月末の残高を確認いたします。,I will check the balance as of the end of this month.,残高,今月末【こんげつまつ】の残高【ざんだか】を確認【かくにん】いたします。,残高 - balance,polite,balance,
取引先ごとの債権を管理しております。,We manage receivables by each business partner.,債権,取引【とりひき】先【さき】ごとの債権【さいけん】を管理【かんり】しております。,残高 - receivable (claim),polite,receivable (claim),
支払期日ごとに債務を整理いたします。,We organize the payables by each due date.,債務,支払【しはらい】期日【きじつ】ごとに債務【さいむ】を整理【せいり】いたします。,残高 - payable (obligation),polite,payable (obligation),
売掛金の入金予定を確認いたします。,I will check the expected collection of accounts receivable.,売掛金,売掛金【うりかけきん】の入金【にゅうきん】予定【よてい】を確認【かくにん】いたします。,残高 - accounts receivable,polite,accounts receivable,
買掛金の支払いは来月に行います。,We will make the payment of accounts payable next month.,買掛金,買掛金【かいかけきん】の支払【しはら】いは来月【らいげつ】に行【おこな】います。,残高 - accounts payable,polite,accounts payable,
取引先別の債権残高を照会いたします。,I will look up the AR balance by business partner.,債権残高,取引【とりひき】先【さき】別【べつ】の債権残高【さいけんざんだか】を照会【しょうかい】いたします。,残高 - AR balance,polite,AR balance,
月末の債務残高を集計いたします。,We will total up the AP balance at month-end.,債務残高,月末【げつまつ】の債務残高【さいむざんだか】を集計【しゅうけい】いたします。,残高 - AP balance,polite,AP balance,
未請求分は契約資産として計上いたします。,The unbilled portion is recorded as a contract asset.,契約資産,未【み】請求【せいきゅう】分【ぶん】は契約資産【けいやくしさん】として計上【けいじょう】いたします。,残高 - contract asset,polite,contract asset,
材料の前渡金を先にお支払いします。,We pay the prepayment for materials in advance.,前渡金,材料【ざいりょう】の前渡金【まえわたしきん】を先【さき】にお支払【しはら】いします。,残高 - prepayment (advance paid),polite,prepayment (advance paid),
債権と債務を相殺して処理いたします。,We process it by offsetting the receivable and payable.,相殺,債権【さいけん】と債務【さいむ】を相殺【そうさい】して処理【しょり】いたします。,残高 - offset / set-off,polite,offset / set-off,
差額は月末に調整いたします。,We will make the adjustment for the difference at month-end.,調整,差額【さがく】は月末【げつまつ】に調整【ちょうせい】いたします。,残高 - adjustment,polite,adjustment,
回収不能分は貸倒として処理いたします。,The uncollectible portion is handled as bad debt.,貸倒,回収【かいしゅう】不能【ふのう】分【ぶん】は貸倒【かしだおれ】として処理【しょり】いたします。,残高 - bad debt,polite,bad debt,
入金は債権元帳に記録いたします。,Payments received are recorded in the accounts-receivable ledger.,債権元帳,入金【にゅうきん】は債権元帳【さいけんもとちょう】に記録【きろく】いたします。,残高 - accounts-receivable ledger,polite,accounts-receivable ledger,
過去断面の残高を確認いたします。,I will check the balance at a past cross-section.,過去断面,過去断面【かこだんめん】の残高【ざんだか】を確認【かくにん】いたします。,残高 - past cross-section,polite,past cross-section,
入金明細と請求を突合いたします。,We reconcile the payment details against the invoices.,突合,入金【にゅうきん】明細【めいさい】と請求【せいきゅう】を突合【とつごう】いたします。,残高 - matching / reconcile,polite,matching / reconcile,
発注と検収と請求で三点照合を行います。,"We perform three-way matching across the order, receipt, and invoice.",三点照合,発注【はっちゅう】と検収【けんしゅう】と請求【せいきゅう】で三点照合【さんてんしょうごう】を行【おこな】います。,残高 - three-way matching,polite,three-way matching,
