Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
継続は力なり。,"""To keep going is itself a strength."" — the classic line for consistency over bursts.",継続,継続【けいぞく】は力【ちから】なり。,Consistency & effort,casual,continuation / persistence,"<ruby class=""vocab"">継続<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ぞ</span><span class=""pitch-h"">く</span></rt></ruby>"
塵も積もれば山となる。,"""Even dust, piled up, becomes a mountain."" — small daily effort compounds.",積もれば,塵【ちり】も積【つ】もれば山【やま】となる。,Consistency & effort,casual,if it piles up (accumulates),"<ruby class=""vocab"">積もれば<rt>つもれば</rt></ruby>"
才能より、続ける力のほうが大切です。,The power to keep going matters more than talent.,才能,才能【さいのう】より、続【つづ】ける力【ちから】のほうが大切【たいせつ】です。,Consistency & effort,polite,talent,"<ruby class=""vocab"">才能<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">の</span><span class=""pitch-h"">う</span></rt></ruby>"
何事も、常に全力で取り組みましょう。,"""Whatever it is, always give it your full effort."" (Do your best at all times.)",全力,何事【なにごと】も、常【つね】に全力【ぜんりょく】で取【と】り組【く】みましょう。,Consistency & effort,polite,full effort / all one's strength,"<ruby class=""vocab"">全力<rt><span class=""pitch-l"">ぜ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">りょ</span><span class=""pitch-h"">く</span></rt></ruby>"
一生懸命。,"""With all one's might.""",一生懸命,一生懸命【いっしょうけんめい】。,Consistency & effort,casual,with all one's might,"<ruby class=""vocab"">一生懸命<rt>いっしょうけんめい</rt></ruby>"
失敗は成功のもと。,Failure is the source of success.,成功,失敗【しっぱい】は成功【せいこう】のもと。,Learning from failure,casual,success,"<ruby class=""vocab"">成功<rt><span class=""pitch-l"">せ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">こ</span><span class=""pitch-h"">う</span></rt></ruby>"
七転び八起き。,"""Fall seven times, get up eight."" — the spirit of standing back up.",七転び八起き,七転【ななころ】び八起【やお】き。,Learning from failure,casual,"fall seven times, rise eight (resilience)","<ruby class=""vocab"">七転び八起き<rt>ななころびやおき</rt></ruby>"
何かを身につけるには、一万回の失敗が必要です。,"To master something, you need ten thousand failures.",身につける,何【なに】かを身【み】につけるには、一万回【いちまんかい】の失敗【しっぱい】が必要【ひつよう】です。,Learning from failure,polite,to master / acquire (a skill),"<ruby class=""vocab"">身につける<rt>みにつける</rt></ruby>"
失敗を、いつまでも引きずらないでください。,"""Don't keep dragging your failures around."" (Don't dwell on mistakes.)",引きずらない,失敗【しっぱい】を、いつまでも引【ひ】きずらないでください。,Learning from failure,polite,to not dwell on / drag around,"<ruby class=""vocab"">引きずらない<rt>ひきずらない</rt></ruby>"
誰でも失敗します。大事なのは、立ち上がって最後までやり切ることです。,Everyone fails. What matters is standing up and finishing the fight.,やり切る,誰【だれ】でも失敗【しっぱい】します。大事【だいじ】なのは、立【た】ち上【あ】がって最後【さいご】までやり切【き】ることです。,Learning from failure,polite,to see through / finish completely,"<ruby class=""vocab"">やり切る<rt>やりきる</rt></ruby>"
過ぎたことは、水に流しましょう。,"""Let what's past flow away like water."" — let it go, move on.",水に流し,過【す】ぎたことは、水【みず】に流【なが】しましょう。,Learning from failure,polite,to let bygones be bygones,"<ruby class=""vocab"">水に流し<rt>みずにながし</rt></ruby>"
艱難汝を玉にす。,"""Hardship polishes you into a jewel."" — through suffering you gain wisdom.",艱難,艱難汝【かんなんなんじ】を玉【たま】にす。,Adversity & perseverance,casual,hardship / adversity,"<ruby class=""vocab"">艱難<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">な</span><span class=""pitch-l"">ん</span></rt></ruby>"
涙を流した分だけ、人は賢くなります。,People grow wiser in proportion to the tears they've shed.,賢く,涙【なみだ】を流【なが】した分【ぶん】だけ、人【ひと】は賢【かしこ】くなります。,Adversity & perseverance,polite,wise / smart,"<ruby class=""vocab"">賢く<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">し</span><span class=""pitch-h"">こ</span><span class=""pitch-l"">く</span></rt></ruby>"
決して、あきらめないでください。,Never give up.,決して,決【けっ】して、あきらめないでください。,Adversity & perseverance,polite,never (with a negative),"<ruby class=""vocab"">決して<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">し</span><span class=""pitch-h"">て</span></rt></ruby>"
石の上にも三年。,"""Three years on a cold stone."" — endure, and it pays off.",石の上にも三年,石【いし】の上【うえ】にも三年【さんねん】。,Adversity & perseverance,casual,perseverance prevails (3 years on a stone),"<ruby class=""vocab"">石の上にも三年<rt>いしのうえにもさんねん</rt></ruby>"
単純明快。,Simple and clear-cut.,単純明快,単純明快【たんじゅんめいかい】。,Keep it super simple,casual,simple and clear-cut,"<ruby class=""vocab"">単純明快<rt>たんじゅんめいかい</rt></ruby>"
できるだけシンプルにしましょう。シンプルな方法が、複雑な方法に勝ちます。,Keep it as simple as possible. The simple way beats the complex way.,複雑,できるだけシンプルにしましょう。シンプルな方法【ほうほう】が、複雑【ふくざつ】な方法【ほうほう】に勝【か】ちます。,Keep it super simple,polite,complex / complicated,"<ruby class=""vocab"">複雑<rt><span class=""pitch-l"">ふ</span><span class=""pitch-h"">く</span><span class=""pitch-h"">ざ</span><span class=""pitch-h"">つ</span></rt></ruby>"
相手のために、内容を噛み砕いて伝えましょう。,"""Chew the content up for the other person."" (Do the hard chewing so others can digest it.)",噛み砕いて,相手【あいて】のために、内容【ないよう】を噛【か】み砕【くだ】いて伝【つた】えましょう。,Keep it super simple,polite,to break down / simplify,"<ruby class=""vocab"">噛み砕いて<rt>かみくだいて</rt></ruby>"
難しい言葉を使わず、やさしく説明しましょう。,"Explain gently, without difficult words.",やさしく,難【むずか】しい言葉【ことば】を使【つか】わず、やさしく説明【せつめい】しましょう。,Keep it super simple,polite,gently / in an easy way,"<span class=""vocab""><span class=""pitch-l"">や</span><span class=""pitch-h"">さ</span><span class=""pitch-h"">し</span><span class=""pitch-h"">く</span></span>"
急いては事を仕損じる。,Haste makes waste.,急いては事を仕損じる,急【せ】いては事【こと】を仕損【しそん】じる。,Think before you build,casual,haste makes waste,"<ruby class=""vocab"">急いては事を仕損じる<rt>せいてはことをしそんじる</rt></ruby>"
作る前に、まず問題をよく理解しましょう。,"""Before building, understand the problem well first."" (Doctor: diagnose before prescribing.)",問題,作【つく】る前【まえ】に、まず問題【もんだい】をよく理解【りかい】しましょう。,Think before you build,polite,problem,"<ruby class=""vocab"">問題<rt><span class=""pitch-l"">も</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">い</span></rt></ruby>"
手を動かす前に、考える時間が一番大切です。,The thinking time before you touch the keyboard matters most.,手を動かす,手【て】を動【うご】かす前【まえ】に、考【かんが】える時間【じかん】が一番大切【いちばんたいせつ】です。,Think before you build,polite,to get to work (lit. move your hands),"<ruby class=""vocab"">手を動かす<rt>てをうごかす</rt></ruby>"
先手必勝。,"""The first move wins."" — act first, don't wait.",先手必勝,先手必勝【せんてひっしょう】。,Be proactive,casual,seize the initiative to win,"<ruby class=""vocab"">先手必勝<rt>せんてひっしょう</rt></ruby>"
率先垂範。,Take the lead and set the example.,率先垂範,率先垂範【そっせんすいはん】。,Be proactive,casual,lead by example,"<ruby class=""vocab"">率先垂範<rt>そっせんすいはん</rt></ruby>"
指示を待たずに、自分から動きましょう。,Don't wait to be told — act on your own.,自分から,指示【しじ】を待【ま】たずに、自分【じぶん】から動【うご】きましょう。,Be proactive,polite,on one's own initiative,"<ruby class=""vocab"">自分から<rt>じぶんから</rt></ruby>"
