Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
では、今日の授業を始めましょう。,"Okay, let's start today's lesson.",授業,では、今日【きょう】の授業【じゅぎょう】を始【はじ】めましょう。,Opening the lesson,polite,class / lesson,"<ruby class=""vocab"">授業<rt><span class=""pitch-h"">じゅ</span><span class=""pitch-l"">ぎょ</span><span class=""pitch-l"">う</span></rt></ruby>"
前回の続きからやっていきます。,We'll continue from where we left off last time.,続き,前回【ぜんかい】の続【つづ】きからやっていきます。,Opening the lesson,polite,continuation,"<ruby class=""vocab"">続き<rt><span class=""pitch-l"">つ</span><span class=""pitch-h"">づ</span><span class=""pitch-h"">き</span></rt></ruby>"
今日のゴールは、〜が作れるようになることです。,Today's goal is to be able to build ~.,ゴール,今日【きょう】のゴールは、〜が作【つく】れるようになることです。,Opening the lesson,polite,goal,"<ruby class=""vocab"">ゴール<rt><span class=""pitch-h"">ご</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">る</span></rt></ruby>"
今日は〜について説明します。,Today I'll explain ~.,説明,今日【きょう】は〜について説明【せつめい】します。,Introducing the topic,polite,explanation,"<ruby class=""vocab"">説明<rt><span class=""pitch-l"">せ</span><span class=""pitch-h"">つ</span><span class=""pitch-h"">め</span><span class=""pitch-h"">い</span></rt></ruby>"
まず、〜から始めましょう。,"First, let's start with ~.",まず,まず、〜から始【はじ】めましょう。,Introducing the topic,polite,first (of all),"<span class=""vocab""><span class=""pitch-h"">ま</span><span class=""pitch-l"">ず</span></span>"
その前に、一つ確認させてください。,"Before that, let me check one thing.",確認,その前【まえ】に、一【ひと】つ確認【かくにん】させてください。,Introducing the topic,polite,confirmation / check,"<ruby class=""vocab"">確認<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">く</span><span class=""pitch-h"">に</span><span class=""pitch-h"">ん</span></rt></ruby>"
次に、実際にコードを書いてみましょう。,"Next, let's actually write some code.",実際に,次【つぎ】に、実際【じっさい】にコードを書【か】いてみましょう。,Transitions,polite,actually / in practice,"<ruby class=""vocab"">実際に<rt>じっさいに</rt></ruby>"
ここまでは大丈夫ですか？,Are you okay up to here?,大丈夫,ここまでは大丈夫【だいじょうぶ】ですか？,Transitions,casual,okay / all right,"<ruby class=""vocab"">大丈夫<rt><span class=""pitch-l"">だ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">じょ</span><span class=""pitch-l"">う</span><span class=""pitch-l"">ぶ</span></rt></ruby>"
では、一緒にやってみましょう。,"Alright, let's do it together.",一緒に,では、一緒【いっしょ】にやってみましょう。,Transitions,polite,together,"<ruby class=""vocab"">一緒に<rt>いっしょに</rt></ruby>"
簡単に言うと、〜ということです。,"Simply put, it means ~.",簡単に言うと,簡単【かんたん】に言【い】うと、〜ということです。,Explaining a concept,polite,simply put / in short,"<ruby class=""vocab"">簡単に言うと<rt>かんたんにいうと</rt></ruby>"
これは〜のようなものだと考えてください。,"""Think of this as something like ~."" (analogy)",のようなもの,これは〜のようなものだと考【かんが】えてください。,Explaining a concept,polite,something like / akin to,"<span class=""vocab"">のようなもの</span>"
例えば、こんな場合を考えてみましょう。,"For example, let's consider a case like this.",例えば,例【たと】えば、こんな場合【ばあい】を考【かんが】えてみましょう。,Explaining a concept,polite,for example,"<ruby class=""vocab"">例えば<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">と</span><span class=""pitch-l"">え</span><span class=""pitch-l"">ば</span></rt></ruby>"
大事なのは、この部分です。,The important part is this.,大事,大事【だいじ】なのは、この部分【ぶぶん】です。,Explaining a concept,polite,important,"<ruby class=""vocab"">大事<rt><span class=""pitch-l"">だ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">じ</span></rt></ruby>"
ここがポイントです。,This is the key point.,ポイント,ここがポイントです。,Explaining a concept,polite,point / key point,"<ruby class=""vocab"">ポイント<rt><span class=""pitch-l"">ぽ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span></rt></ruby>"
今、画面は見えていますか？,Can you see the screen now?,画面,今【いま】、画面【がめん】は見【み】えていますか？,Narrating live coding,casual,screen,"<ruby class=""vocab"">画面<rt><span class=""pitch-l"">が</span><span class=""pitch-h"">め</span><span class=""pitch-h"">ん</span></rt></ruby>"
この行で、〜をしています。,"On this line, we're doing ~.",行,この行【ぎょう】で、〜をしています。,Narrating live coding,polite,line (of code),"<ruby class=""vocab"">行<rt><span class=""pitch-h"">ぎょ</span><span class=""pitch-l"">う</span></rt></ruby>"
ここでエラーが出ましたね。一緒に直しましょう。,We got an error here. Let's fix it together.,直し,ここでエラーが出【で】ましたね。一緒【いっしょ】に直【なお】しましょう。,Narrating live coding,polite,to fix / repair,"<ruby class=""vocab"">直し<rt><span class=""pitch-l"">な</span><span class=""pitch-h"">お</span><span class=""pitch-h"">し</span></rt></ruby>"
わざと間違えて、何が起きるか見てみます。,I'll make a mistake on purpose and see what happens.,わざと,わざと間違【まちが】えて、何【なに】が起【お】きるか見【み】てみます。,Narrating live coding,polite,on purpose / deliberately,"<span class=""vocab""><span class=""pitch-h"">わ</span><span class=""pitch-l"">ざ</span><span class=""pitch-l"">と</span></span>"
ここまでで質問はありますか？,Any questions so far?,質問,ここまでで質問【しつもん】はありますか？,Checking understanding,casual,question,"<ruby class=""vocab"">質問<rt><span class=""pitch-l"">し</span><span class=""pitch-h"">つ</span><span class=""pitch-h"">も</span><span class=""pitch-h"">ん</span></rt></ruby>"
分からないところがあれば、遠慮なく聞いてください。,"If anything is unclear, please feel free to ask.",遠慮なく,分【わ】からないところがあれば、遠慮【えんりょ】なく聞【き】いてください。,Checking understanding,polite,without hesitation / feel free,"<ruby class=""vocab"">遠慮なく<rt>えんりょなく</rt></ruby>"
一度、自分でやってみてください。,Try it yourself once.,自分で,一度【いちど】、自分【じぶん】でやってみてください。,Checking understanding,polite,by yourself,"<ruby class=""vocab"">自分で<rt>じぶんで</rt></ruby>"
いい質問ですね。,That's a good question.,いい質問,いい質問【しつもん】ですね。,Handling questions,polite,good question,"<ruby class=""vocab"">いい質問<rt>いいしつもん</rt></ruby>"
すみません、もう一度言ってもらえますか？,"Sorry, could you say that once more?",もう一度,すみません、もう一度言【いちどい】ってもらえますか？,Handling questions,casual,once more,"<span class=""vocab"">もう一度</span>"
つまり、〜という意味ですか？,"So, do you mean ~?",つまり,つまり、〜という意味【いみ】ですか？,Handling questions,casual,in other words / so,"<span class=""vocab""><span class=""pitch-h"">つ</span><span class=""pitch-l"">ま</span><span class=""pitch-l"">り</span></span>"
いいですね、その調子です。,"Nice, keep it up.",その調子,いいですね、その調子【ちょうし】です。,Encouraging,polite,keep it up / that's the way,"<ruby class=""vocab"">その調子<rt>そのちょうし</rt></ruby>"
間違えても大丈夫ですよ。,It's okay to make mistakes.,間違えて,間違【まちが】えても大丈夫【だいじょうぶ】ですよ。,Encouraging,casual,to make a mistake,"<ruby class=""vocab"">間違えて<rt>まちがえて</rt></ruby>"
さっきより良くなりましたね。,That's better than before.,良く,さっきより良【よ】くなりましたね。,Encouraging,casual,better / well,"<ruby class=""vocab"">良く<rt><span class=""pitch-h"">よ</span><span class=""pitch-l"">く</span></rt></ruby>"
AIに出す指示のことを「プロンプト」と言います。,The instructions you give the AI are called a 'prompt'.,プロンプト,AIに出【だ】す指示【しじ】のことを「プロンプト」と言【い】います。,For AI lessons,polite,prompt,"<ruby class=""vocab"">プロンプト<rt><span class=""pitch-l"">ぷ</span><span class=""pitch-h"">ろ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">ぷ</span><span class=""pitch-l"">と</span></rt></ruby>"
AIが書いたコードも、必ず自分で動かして確認しましょう。,Always run and check the AI's code yourself.,必ず,AIが書【か】いたコードも、必【かなら】ず自分【じぶん】で動【うご】かして確認【かくにん】しましょう。,For AI lessons,polite,always / without fail,"<ruby class=""vocab"">必ず<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">な</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">ず</span></rt></ruby>"
うまくいかない時は、プロンプトを少し変えてみてください。,"When it doesn't work, try changing the prompt a little.",うまくいかない,うまくいかない時【とき】は、プロンプトを少【すこ】し変【か】えてみてください。,For AI lessons,polite,to not go well / not work out,"<span class=""vocab"">うまくいかない</span>"
AIは便利ですが、頼りすぎないようにしましょう。,"AI is useful, but let's not rely on it too much.",頼りすぎ,AIは便利【べんり】ですが、頼【たよ】りすぎないようにしましょう。,For AI lessons,polite,to rely too much,"<ruby class=""vocab"">頼りすぎ<rt>たよりすぎ</rt></ruby>"
今日はここまでにします。お疲れさまでした。,Let's stop here for today. Good work.,お疲れさま,今日【きょう】はここまでにします。お疲【つか】れさまでした。,Wrapping up,polite,good work / thanks for your effort,"<ruby class=""vocab"">お疲れさま<rt>おつかれさま</rt></ruby>"
質問があれば、Discordで聞いてくださいね。,"If you have questions, ask on Discord.",聞いて,質問【しつもん】があれば、Discordで聞【き】いてくださいね。,Wrapping up,casual,to ask / listen,"<ruby class=""vocab"">聞いて<rt>きいて</rt></ruby>"
