Sentence,Translation,Cloze,Pronunciation,TTSPronunciation,Note,KeyMeaning,Conjugations
機能は完了しレビュー準備ができました。,The feature is done and ready for review.,完了,機能【きのう】は完了【かんりょう】しレビュー準備【じゅんび】ができました。,機能【きのう】は完了【かんりょう】しレビュー準備【じゅんび】が、できました。,Workflow - Completion,completed,"<details class=""conjugation-section""><summary>Conjugations for 完了 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>完了する</td></tr><tr><td>Polite ます形</td><td>完了します</td></tr><tr><td>Negative ない形</td><td>完了しない</td></tr><tr><td>Te-form て形</td><td>完了して</td></tr><tr><td>Past た形</td><td>完了した</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>完了できる</td></tr><tr><td>Passive 受身形</td><td>完了される</td></tr><tr><td>Causative 使役形</td><td>完了させる</td></tr><tr><td>Caus-Pass 使役受身</td><td>完了させられる</td></tr><tr><td>Conditional 仮定形</td><td>完了すれば</td></tr><tr><td>Conditional たら形</td><td>完了したら</td></tr><tr><td>Volitional 意向形</td><td>完了しよう</td></tr><tr><td>Imperative 命令形</td><td>完了しろ</td></tr><tr><td>Want to たい形</td><td>完了したい</td></tr><tr><td>Should べき形</td><td>完了すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>完了なさる</td></tr><tr><td>Humble 謙譲語</td><td>完了いたす</td></tr></table></details>"
今ログインのバグに取り組んでいます。,I'm working on the login bug right now.,取り組んで,今【いま】ログインのバグに取【と】り組【く】んでいます。,今【いま】ログインのバグに取【と】り組【く】んでいます。,Workflow - Progress,working on,"<details class=""conjugation-section""><summary>Conjugations for 取り組んで (五段動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>取り組む</td></tr><tr><td>Polite ます形</td><td>取り組みます</td></tr><tr><td>Negative ない形</td><td>取り組まない</td></tr><tr><td>Te-form て形</td><td>取り組んで</td></tr><tr><td>Past た形</td><td>取り組んだ</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>取り組める</td></tr><tr><td>Passive 受身形</td><td>取り組まれる</td></tr><tr><td>Causative 使役形</td><td>取り組ませる</td></tr><tr><td>Caus-Pass 使役受身</td><td>取り組ませられる</td></tr><tr><td>Conditional 仮定形</td><td>取り組めば</td></tr><tr><td>Conditional たら形</td><td>取り組んだら</td></tr><tr><td>Volitional 意向形</td><td>取り組もう</td></tr><tr><td>Imperative 命令形</td><td>取り組め</td></tr><tr><td>Want to たい形</td><td>取り組みたい</td></tr><tr><td>Should べき形</td><td>取り組むべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>取り組まれる</td></tr><tr><td>Humble 謙譲語</td><td>お取り組みする</td></tr></table></details>"
APIチームにブロックされています。,I'm blocked by the API team.,ブロック,APIチームにブロックされています。,APIチームにブロックされています。,Workflow - Blocking,blocked,"<details class=""conjugation-section""><summary>Conjugations for ブロック (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>ブロックする</td></tr><tr><td>Polite ます形</td><td>ブロックします</td></tr><tr><td>Negative ない形</td><td>ブロックしない</td></tr><tr><td>Te-form て形</td><td>ブロックして</td></tr><tr><td>Past た形</td><td>ブロックした</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>ブロックできる</td></tr><tr><td>Passive 受身形</td><td>ブロックされる</td></tr><tr><td>Causative 使役形</td><td>ブロックさせる</td></tr><tr><td>Caus-Pass 使役受身</td><td>ブロックさせられる</td></tr><tr><td>Conditional 仮定形</td><td>ブロックすれば</td></tr><tr><td>Conditional たら形</td><td>ブロックしたら</td></tr><tr><td>Volitional 意向形</td><td>ブロックしよう</td></tr><tr><td>Imperative 命令形</td><td>ブロックしろ</td></tr><tr><td>Want to たい形</td><td>ブロックしたい</td></tr><tr><td>Should べき形</td><td>ブロックすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>ブロックなさる</td></tr><tr><td>Humble 謙譲語</td><td>ブロックいたす</td></tr></table></details>"
プロジェクトの更新をもらえますか？,Can you give us an update on the project?,更新,プロジェクトの更新【こうしん】をもらえますか？,プロジェクトの更新【こうしん】をもらえますか？,Workflow - Status,update,"<details class=""conjugation-section""><summary>Conjugations for 更新 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>更新する</td></tr><tr><td>Polite ます形</td><td>更新します</td></tr><tr><td>Negative ない形</td><td>更新しない</td></tr><tr><td>Te-form て形</td><td>更新して</td></tr><tr><td>Past た形</td><td>更新した</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>更新できる</td></tr><tr><td>Passive 受身形</td><td>更新される</td></tr><tr><td>Causative 使役形</td><td>更新させる</td></tr><tr><td>Caus-Pass 使役受身</td><td>更新させられる</td></tr><tr><td>Conditional 仮定形</td><td>更新すれば</td></tr><tr><td>Conditional たら形</td><td>更新したら</td></tr><tr><td>Volitional 意向形</td><td>更新しよう</td></tr><tr><td>Imperative 命令形</td><td>更新しろ</td></tr><tr><td>Want to たい形</td><td>更新したい</td></tr><tr><td>Should べき形</td><td>更新すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>更新なさる</td></tr><tr><td>Humble 謙譲語</td><td>更新いたす</td></tr></table></details>"
支払いフローに問題を見つけました。,We found an issue with the payment flow.,問題,支払【しはら】いフローに問題【もんだい】を見【み】つけました。,支払【しはら】いフローに問題【もんだい】を見【み】つけました。,Debug - Issue,problem/issue,
昼食前にこのバグを修正します。,I'll fix this bug before lunch.,修正,昼食【ちゅうしょく】前【まえ】にこのバグを修正【しゅうせい】します。,昼食【ちゅうしょく】前【まえ】にこのバグを修正【しゅうせい】します。,Debug - Fix,fix,"<details class=""conjugation-section""><summary>Conjugations for 修正 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>修正する</td></tr><tr><td>Polite ます形</td><td>修正します</td></tr><tr><td>Negative ない形</td><td>修正しない</td></tr><tr><td>Te-form て形</td><td>修正して</td></tr><tr><td>Past た形</td><td>修正した</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>修正できる</td></tr><tr><td>Passive 受身形</td><td>修正される</td></tr><tr><td>Causative 使役形</td><td>修正させる</td></tr><tr><td>Caus-Pass 使役受身</td><td>修正させられる</td></tr><tr><td>Conditional 仮定形</td><td>修正すれば</td></tr><tr><td>Conditional たら形</td><td>修正したら</td></tr><tr><td>Volitional 意向形</td><td>修正しよう</td></tr><tr><td>Imperative 命令形</td><td>修正しろ</td></tr><tr><td>Want to たい形</td><td>修正したい</td></tr><tr><td>Should べき形</td><td>修正すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>修正なさる</td></tr><tr><td>Humble 謙譲語</td><td>修正いたす</td></tr></table></details>"
モバイルで動くか確認してもらえますか？,Can you check if this works on mobile?,確認,モバイルで動【うご】くか確認【かくにん】してもらえますか？,モバイルで動【うご】くか確認【かくにん】してもらえますか？,Workflow - Verification,confirm/check,"<details class=""conjugation-section""><summary>Conjugations for 確認 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>確認する</td></tr><tr><td>Polite ます形</td><td>確認します</td></tr><tr><td>Negative ない形</td><td>確認しない</td></tr><tr><td>Te-form て形</td><td>確認して</td></tr><tr><td>Past た形</td><td>確認した</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>確認できる</td></tr><tr><td>Passive 受身形</td><td>確認される</td></tr><tr><td>Causative 使役形</td><td>確認させる</td></tr><tr><td>Caus-Pass 使役受身</td><td>確認させられる</td></tr><tr><td>Conditional 仮定形</td><td>確認すれば</td></tr><tr><td>Conditional たら形</td><td>確認したら</td></tr><tr><td>Volitional 意向形</td><td>確認しよう</td></tr><tr><td>Imperative 命令形</td><td>確認しろ</td></tr><tr><td>Want to たい形</td><td>確認したい</td></tr><tr><td>Should べき形</td><td>確認すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>確認なさる</td></tr><tr><td>Humble 謙譲語</td><td>確認いたす</td></tr></table></details>"
PRはレビュー準備ができています。,The PR is ready for review.,準備,PRはレビュー準備【じゅんび】ができています。,PRはレビュー準備【じゅんび】が、できています。,Workflow - Completion,preparation,"<details class=""conjugation-section""><summary>Conjugations for 準備 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>準備する</td></tr><tr><td>Polite ます形</td><td>準備します</td></tr><tr><td>Negative ない形</td><td>準備しない</td></tr><tr><td>Te-form て形</td><td>準備して</td></tr><tr><td>Past た形</td><td>準備した</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>準備できる</td></tr><tr><td>Passive 受身形</td><td>準備される</td></tr><tr><td>Causative 使役形</td><td>準備させる</td></tr><tr><td>Caus-Pass 使役受身</td><td>準備させられる</td></tr><tr><td>Conditional 仮定形</td><td>準備すれば</td></tr><tr><td>Conditional たら形</td><td>準備したら</td></tr><tr><td>Volitional 意向形</td><td>準備しよう</td></tr><tr><td>Imperative 命令形</td><td>準備しろ</td></tr><tr><td>Want to たい形</td><td>準備したい</td></tr><tr><td>Should べき形</td><td>準備すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>準備なさる</td></tr><tr><td>Humble 謙譲語</td><td>準備いたす</td></tr></table></details>"
ステージングデータベースへのアクセスが必要です。,I need access to the staging database.,必要,ステージングデータベースへのアクセスが必要【ひつよう】です。,ステージングデータベースへのアクセスが必要【ひつよう】です。,Workflow - Requirement,necessary/need,
このコードを理解するのを手伝ってもらえますか？,Could you help me understand this code?,手伝って,このコードを理解【りかい】するのを手伝【てつだ】ってもらえますか？,このコードを理解【りかい】するのを手伝【てつだ】ってもらえますか？,Communication - Help,help,"<details class=""conjugation-section""><summary>Conjugations for 手伝って (五段動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>手伝う</td></tr><tr><td>Polite ます形</td><td>手伝います</td></tr><tr><td>Negative ない形</td><td>手伝わない</td></tr><tr><td>Te-form て形</td><td>手伝って</td></tr><tr><td>Past た形</td><td>手伝った</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>手伝える</td></tr><tr><td>Passive 受身形</td><td>手伝われる</td></tr><tr><td>Causative 使役形</td><td>手伝わせる</td></tr><tr><td>Caus-Pass 使役受身</td><td>手伝わせられる</td></tr><tr><td>Conditional 仮定形</td><td>手伝えば</td></tr><tr><td>Conditional たら形</td><td>手伝ったら</td></tr><tr><td>Volitional 意向形</td><td>手伝おう</td></tr><tr><td>Imperative 命令形</td><td>手伝え</td></tr><tr><td>Want to たい形</td><td>手伝いたい</td></tr><tr><td>Should べき形</td><td>手伝うべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>手伝われる</td></tr><tr><td>Humble 謙譲語</td><td>お手伝いする</td></tr></table></details>"
