Sentence,Translation,Cloze,Pronunciation,TTSPronunciation,Note,Register,KeyMeaning,PitchAccent,Conjugations
問題なし！リリースOK。,LGTM! Ship it.,問題なし,問題【もんだい】なし！リリースOK。,問題【もんだい】なし！リリースOK。,Code Review - Approval,polite,no problem,,
この変数の名前変更を検討してください。,Nit: consider renaming this variable.,検討,この変数【へんすう】の名前【なまえ】変更【へんこう】を検討【けんとう】してください。,この変数【へんすう】の名前【なまえ】変更【へんこう】を検討【けんとう】してください。,Code Review - Nit,polite,consider,"<ruby class=""vocab"">検討<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span><span class=""pitch-h"">う</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 検討 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>検討する</td></tr><tr><td>Polite ます形</td><td>検討します</td></tr><tr><td>Polite Negative ません形</td><td>検討しません</td></tr><tr><td>Te-form て形</td><td>検討して</td></tr><tr><td>Polite Past ました形</td><td>検討しました</td></tr><tr><td>Progressive ている形</td><td>検討しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>検討できる</td></tr><tr><td>Passive 受身形</td><td>検討される</td></tr><tr><td>Conditional たら形</td><td>検討したら</td></tr><tr><td>Volitional 意向形</td><td>検討しよう</td></tr><tr><td>Should べき形</td><td>検討すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>検討なさる</td></tr><tr><td>Humble 謙譲語</td><td>検討いたす</td></tr></table></details><details class=""te-compounds""><summary>て形 compound patterns</summary><table class=""conjugation-table""><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
ここにコメントを追加してください。,Minor: add a comment here.,軽微,ここにコメントを追加【ついか】してください。,ここにコメントを追加【ついか】してください。,Code Review - Minor,polite,minor,"<ruby class=""vocab"">軽微<rt><span class=""pitch-h"">け</span><span class=""pitch-l"">い</span><span class=""pitch-l"">び</span></rt></ruby>",
これはメモリリークを引き起こします。,Major: this will cause a memory leak.,重大,これはメモリリークを引【ひ】き起【お】こします。,これはメモリリークを引【ひ】き起【お】こします。,Code Review - Major,polite,serious,"<ruby class=""vocab"">重大<rt><span class=""pitch-l"">じゅ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">い</span></rt></ruby>",
まずセキュリティの問題を修正してください。,Blocker: fix the security issue first.,セキュリティ,まずセキュリティの問題【もんだい】を修正【しゅうせい】してください。,まず、セキュリティの問題【もんだい】を修正【しゅうせい】してください。,Code Review - Security,polite,security,"<span class=""vocab""><span class=""pitch-l"">せ</span><span class=""pitch-h"">きゅ</span><span class=""pitch-l"">り</span><span class=""pitch-l"">てぃ</span></span>",
配列の代わりにマップを使うことを提案します。,Suggestion: use a map instead of array.,提案,配列【はいれつ】の代【か】わりにマップを使【つか】うことを提案【ていあん】します。,配列【はいれつ】の代【か】わりにマップを使【つか】うことを提案【ていあん】します。,Code Review - Suggestion,polite,propose,"<ruby class=""vocab"">提案<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">い</span><span class=""pitch-h"">あ</span><span class=""pitch-h"">ん</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 提案 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>提案する</td></tr><tr><td>Polite ます形</td><td>提案します</td></tr><tr><td>Polite Negative ません形</td><td>提案しません</td></tr><tr><td>Te-form て形</td><td>提案して</td></tr><tr><td>Polite Past ました形</td><td>提案しました</td></tr><tr><td>Progressive ている形</td><td>提案しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>提案できる</td></tr><tr><td>Passive 受身形</td><td>提案される</td></tr><tr><td>Conditional たら形</td><td>提案したら</td></tr><tr><td>Volitional 意向形</td><td>提案しよう</td></tr><tr><td>Should べき形</td><td>提案すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>提案なさる</td></tr><tr><td>Humble 謙譲語</td><td>提案いたす</td></tr></table></details><details class=""te-compounds""><summary>て形 compound patterns</summary><table class=""conjugation-table""><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
なぜこのアプローチを選んだのですか？,Question: why did you choose this approach?,アプローチ,なぜこのアプローチを選【えら】んだのですか？,なぜこのアプローチを選【えら】んだのですか？,Communication - Question,polite,approach,"<span class=""vocab""><span class=""pitch-l"">あ</span><span class=""pitch-h"">ぷ</span><span class=""pitch-h"">ろ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ち</span></span>","<details class=""conjugation-section""><summary>Conjugations for アプローチ (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>アプローチする</td></tr><tr><td>Polite ます形</td><td>アプローチします</td></tr><tr><td>Polite Negative ません形</td><td>アプローチしません</td></tr><tr><td>Te-form て形</td><td>アプローチして</td></tr><tr><td>Polite Past ました形</td><td>アプローチしました</td></tr><tr><td>Progressive ている形</td><td>アプローチしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>アプローチできる</td></tr><tr><td>Passive 受身形</td><td>アプローチされる</td></tr><tr><td>Conditional たら形</td><td>アプローチしたら</td></tr><tr><td>Volitional 意向形</td><td>アプローチしよう</td></tr><tr><td>Should べき形</td><td>アプローチすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>アプローチなさる</td></tr><tr><td>Humble 謙譲語</td><td>アプローチいたす</td></tr></table></details><details class=""te-compounds""><summary>て形 compound patterns</summary><table class=""conjugation-table""><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
パフォーマンスについて懸念があります。,I have a concern about performance.,懸念,パフォーマンスについて懸念【けねん】があります。,パフォーマンスについて懸念【けねん】が、あります。,Communication - Concern,polite,concern,"<ruby class=""vocab"">懸念<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">ね</span><span class=""pitch-h"">ん</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 懸念 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>懸念する</td></tr><tr><td>Polite ます形</td><td>懸念します</td></tr><tr><td>Polite Negative ません形</td><td>懸念しません</td></tr><tr><td>Te-form て形</td><td>懸念して</td></tr><tr><td>Polite Past ました形</td><td>懸念しました</td></tr><tr><td>Progressive ている形</td><td>懸念しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>懸念できる</td></tr><tr><td>Passive 受身形</td><td>懸念される</td></tr><tr><td>Conditional たら形</td><td>懸念したら</td></tr><tr><td>Volitional 意向形</td><td>懸念しよう</td></tr><tr><td>Should べき形</td><td>懸念すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>懸念なさる</td></tr><tr><td>Humble 謙譲語</td><td>懸念いたす</td></tr></table></details><details class=""te-compounds""><summary>て形 compound patterns</summary><table class=""conjugation-table""><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
ここで定数を使うことを検討してください。,Consider using a constant here.,定数,ここで定数【ていすう】を使【つか】うことを検討【けんとう】してください。,ここで定数【ていすう】を使【つか】うことを検討【けんとう】してください。,Code Review - Suggestion,polite,constant,"<ruby class=""vocab"">定数<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">い</span><span class=""pitch-h"">す</span><span class=""pitch-l"">う</span></rt></ruby>",
代わりに再帰を使うこともできます。,Alternatively we could use recursion.,再帰,代【か】わりに再帰【さいき】を使【つか】うこともできます。,代【か】わりに再帰【さいき】を使【つか】うこともできます。,Code Review - Alternative,polite,recursive,"<ruby class=""vocab"">再帰<rt><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span><span class=""pitch-l"">き</span></rt></ruby>",
