Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
現在そのバグの原因を調査しています。,We are currently investigating the cause of that bug.,調査,現在【げんざい】そのバグの原因【げんいん】を調査【ちょうさ】しております。,Problem-Solving - Investigation,polite,investigating,"<ruby class=""vocab"">調査<rt><span class=""pitch-h"">ちょ</span><span class=""pitch-l"">う</span><span class=""pitch-l"">さ</span></rt></ruby>"
ログを確認したところエラーが毎分発生していることがわかりました。,"After checking the logs, I found that the error is occurring every minute.",確認した,ログを確認【かくにん】したところエラーが毎分【まいふん】発生【はっせい】していることがわかりました。,Problem-Solving - Investigation,polite,confirmed / found,"<ruby class=""vocab"">確認した<rt>かくにんした</rt></ruby>"
デプロイ直後から発生しているため変更が原因と思われます。,"Since it started occurring right after the deploy, the change appears to be the cause.",発生,デプロイ直後【ちょくご】から発生【はっせい】しているため変更【へんこう】が原因【げんいん】と思【おも】われます。,Problem-Solving - Investigation,polite,occurring,"<ruby class=""vocab"">発生<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">い</span></rt></ruby>"
再現手順が特定できましたので共有します。,"I have identified the reproduction steps, so I will share them.",特定,再現【さいげん】手順【てじゅん】が特定【とくてい】できましたので共有【きょうゆう】します。,Problem-Solving - Investigation,polite,identified,"<ruby class=""vocab"">特定<rt><span class=""pitch-l"">と</span><span class=""pitch-h"">く</span><span class=""pitch-h"">て</span><span class=""pitch-h"">い</span></rt></ruby>"
影響範囲を確認したところユーザーの10パーセントが影響を受けています。,"After checking the impact scope, I found that 10% of users are affected.",影響範囲,影響範囲【えいきょうはんい】を確認【かくにん】したところユーザーの10パーセントが影響【えいきょう】を受【う】けています。,Problem-Solving - Investigation,polite,impact scope,"<ruby class=""vocab"">影響範囲<rt>えいきょうはんい</rt></ruby>"
キャッシュの設定が原因の可能性があります。,The cache configuration might be the cause.,可能性,キャッシュの設定【せってい】が原因【げんいん】の可能性【かのうせい】があります。,Problem-Solving - Hypothesis,polite,possibility,"<ruby class=""vocab"">可能性<rt>かのうせい</rt></ruby>"
メモリリークが発生していると考えられます。,It is thought that a memory leak is occurring.,考えられます,メモリリークが発生【はっせい】していると考【かんが】えられます。,Problem-Solving - Hypothesis,polite,it is thought that,"<ruby class=""vocab"">考えられます<rt>かんがえられます</rt></ruby>"
先週のマイグレーションの影響を受けている可能性があります。,There is a possibility that it is being affected by last week's migration.,影響,先週【せんしゅう】のマイグレーションの影響【えいきょう】を受【う】けている可能性【かのうせい】があります。,Problem-Solving - Hypothesis,polite,impact / influence,"<ruby class=""vocab"">影響<rt><span class=""pitch-l"">え</span><span class=""pitch-h"">い</span><span class=""pitch-h"">きょ</span><span class=""pitch-h"">う</span></rt></ruby>"
データ量が増えたことでクエリが遅くなったとすればつじつまが合います。,"If we assume the query slowed down because the data volume increased, it makes sense.",つじつまが合います,データ量【りょう】が増【ふ】えたことでクエリが遅【おそ】くなったとすればつじつまが合【あ】います。,Problem-Solving - Hypothesis,polite,makes sense / adds up,"<ruby class=""vocab"">つじつまが合います<rt>つじつまがあいます</rt></ruby>"
なぜこのタイミングで発生するのか原因の仮説を立てましょう。,Let's form a hypothesis about why it is occurring at this timing.,仮説,なぜこのタイミングで発生【はっせい】するのか原因【げんいん】の仮説【かせつ】を立【た】てましょう。,Problem-Solving - Hypothesis,polite,hypothesis,"<ruby class=""vocab"">仮説<rt><span class=""pitch-l"">か</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">つ</span></rt></ruby>"
インデックスを追加することで対応できると思います。,I think we can handle it by adding an index.,対応,インデックスを追加【ついか】することで対応【たいおう】できると思【おも】います。,Problem-Solving - Solutions,polite,handle / address,"<ruby class=""vocab"">対応<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">い</span><span class=""pitch-h"">お</span><span class=""pitch-h"">う</span></rt></ruby>"
まずロールバックして原因を調査しましょう。,Let's roll back first and then investigate the cause.,ロールバック,まずロールバックして原因【げんいん】を調査【ちょうさ】しましょう。,Problem-Solving - Solutions,polite,rollback,"<span class=""vocab"">ロールバック</span>"
短期的にはフラグで無効化し長期的には設計を見直すべきと思います。,Short-term we should disable it with a flag; long-term I think we should review the design.,無効化,短期的【たんきてき】にはフラグで無効化【むこうか】し長期的【ちょうきてき】には設計【せっけい】を見直【みなお】すべきと思【おも】います。,Problem-Solving - Solutions,polite,disable / invalidate,"<ruby class=""vocab"">無効化<rt>むこうか</rt></ruby>"
とりあえずアラートのしきい値を調整しておきましょう。,For now let's adjust the alert threshold.,しきい値,とりあえずアラートのしきい値【ち】を調整【ちょうせい】しておきましょう。,Problem-Solving - Solutions,polite,threshold,"<ruby class=""vocab"">しきい値<rt>ち</rt></ruby>"
AとBのどちらのアプローチが良いと思いますか。,"Which approach do you think is better, A or B?",アプローチ,AとBのどちらのアプローチが良【よ】いと思【おも】いますか。,Problem-Solving - Solutions,polite,approach,"<ruby class=""vocab"">アプローチ<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">ぷ</span><span class=""pitch-h"">ろ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ち</span></rt></ruby>"
そのアプローチだとパフォーマンスに影響するリスクがあります。,With that approach there is a risk of impacting performance.,リスク,そのアプローチだとパフォーマンスに影響【えいきょう】するリスクがあります。,Problem-Solving - Tradeoffs,polite,risk,"<ruby class=""vocab"">リスク<rt><span class=""pitch-h"">り</span><span class=""pitch-l"">す</span><span class=""pitch-l"">く</span></rt></ruby>"
実装コストを考えると既存のライブラリを使う方が現実的です。,"Considering implementation cost, using an existing library is more realistic.",実装コスト,実装【じっそう】コストを考【かんが】えると既存【きそん】のライブラリを使【つか】う方【ほう】が現実的【げんじつてき】です。,Problem-Solving - Tradeoffs,polite,implementation cost,"<ruby class=""vocab"">実装コスト<rt>じっそうコスト</rt></ruby>"
一貫性とパフォーマンスのトレードオフを検討する必要があります。,We need to consider the tradeoff between consistency and performance.,トレードオフ,一貫性【いっかんせい】とパフォーマンスのトレードオフを検討【けんとう】する必要【ひつよう】があります。,Problem-Solving - Tradeoffs,polite,tradeoff,"<span class=""vocab"">トレードオフ</span>"
この方針で進めてよいか確認させてください。,Please let me confirm whether it is okay to proceed with this approach.,方針,この方針【ほうしん】で進【すす】めてよいか確認【かくにん】させてください。,Problem-Solving - Decisions,polite,approach / policy,"<ruby class=""vocab"">方針<rt><span class=""pitch-l"">ほ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">し</span><span class=""pitch-h"">ん</span></rt></ruby>"
誰がこの対応を担当できますか。,Who can take charge of this response?,担当,誰【だれ】がこの対応【たいおう】を担当【たんとう】できますか。,Problem-Solving - Decisions,polite,in charge of,"<ruby class=""vocab"">担当<rt><span class=""pitch-l"">た</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span><span class=""pitch-h"">う</span></rt></ruby>"
この修正の優先度はどのくらいですか。,What is the priority level of this fix?,優先度,この修正【しゅうせい】の優先度【ゆうせんど】はどのくらいですか。,Problem-Solving - Decisions,polite,priority level,"<ruby class=""vocab"">優先度<rt>ゆうせんど</rt></ruby>"
いつまでに対応できそうですか。,By when do you think you can handle this?,対応できそう,いつまでに対応【たいおう】できそうですか。,Problem-Solving - Decisions,polite,able to handle,"<ruby class=""vocab"">対応できそう<rt>たいおうできそう</rt></ruby>"
方針を決めてチームに共有しましょう。,Let's decide on the approach and share it with the team.,共有,方針【ほうしん】を決【き】めてチームに共有【きょうゆう】しましょう。,Problem-Solving - Decisions,polite,share,"<ruby class=""vocab"">共有<rt><span class=""pitch-l"">きょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ゆ</span><span class=""pitch-h"">う</span></rt></ruby>"
同様の障害が再発しないようにアラートを追加します。,We will add an alert to prevent a similar incident from recurring.,再発,同様【どうよう】の障害【しょうがい】が再発【さいはつ】しないようにアラートを追加【ついか】します。,Problem-Solving - Post-Mortem,polite,recur,"<ruby class=""vocab"">再発<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">は</span><span class=""pitch-h"">つ</span></rt></ruby>"
