Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese
何人ですか。,How many people?,人,何【なん】人【にん】ですか。,At a Restaurant,polite,"person, people","<ruby class=""vocab"">人<rt><span class=""pitch-l"">に</span><span class=""pitch-h"">ん</span></rt></ruby>",何名様ですか。
二りの人です。,Two people.,人,二【ふた】りの人【ひと】です。,At a Restaurant,polite,"person, people","<ruby class=""vocab"">人<rt><span class=""pitch-l"">ひ</span><span class=""pitch-h"">と</span></rt></ruby>",二人です。
どうぞ、こちらに座ってください。,"Please, sit here.",ください,どうぞ、こちらに座【すわ】ってください。,At a Restaurant,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",どうぞ、こちらにお座りください。
すみません。この食べ物の中に何がありますか。,Excuse me. What is in this dish?,すみません,すみません。この食【た】べ物【もの】の中【なか】に何【なに】がありますか。,At a Restaurant,polite,excuse me,"<span class=""vocab"">すみません</span>",すみません。この料理の中に何が入っていますか。
草と肉です。体が悪くなる食べ物はありますか。,Vegetables and meat. Do you have any food allergies?,なる,草【くさ】と肉【にく】です。体【からだ】が悪【わる】くなる食【た】べ物【もの】はありますか。,At a Restaurant,polite,become,"<span class=""vocab""><span class=""pitch-h"">な</span><span class=""pitch-l"">る</span></span>",野菜とお肉です。アレルギーはありますか。
はい。卵で体が悪くなります。,Yes. Eggs make me feel bad.,はい,はい。卵【たまご】で体【からだ】が悪【わる】くなります。,At a Restaurant,polite,yes,"<span class=""vocab""><span class=""pitch-h"">は</span><span class=""pitch-l"">い</span></span>",はい。卵でアレルギーが出ます。
分かりました。この食べ物には卵は入っていません。,I understand. This dish has no eggs.,この,分【わ】かりました。この食【た】べ物【もの】には卵【たまご】は入【はい】っていません。,At a Restaurant,polite,this (+noun),"<span class=""vocab""><span class=""pitch-l"">こ</span><span class=""pitch-h"">の</span></span>",分かりました。この料理には卵は入っていません。
では、これをください。,Then I'll have this.,ください,では、これをください。,At a Restaurant,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",
すみません。お金を全部ください。,Excuse me. The bill please.,すみません,すみません。お金【かね】を全部【ぜんぶ】ください。,At a Restaurant,polite,excuse me,"<span class=""vocab"">すみません</span>",すみません。お会計をお願いします。
火で作った食べ物,"cooking, dish",火で作った食べ物,火【ひ】で作【つく】った食【た】べ物【もの】,Food & Drink,,"cooking, dish","<ruby class=""vocab"">火で作った食べ物<rt>ひでつくったたべもの</rt></ruby>",料理
食べる事,meal,食べる事,食【た】べる事【こと】,Food & Drink,,meal,"<ruby class=""vocab"">食べる事<rt>たべること</rt></ruby>",食事
