Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese
太陽が出てくる時,morning,太陽が出てくる時,太【たい】陽【よう】が出【で】てくる時【とき】,Time Expressions,,morning,"<ruby class=""vocab"">太陽が出てくる時<rt>たいようがでてくるとき</rt></ruby>",朝
太陽が上にある時,"daytime, noon",太陽が上にある時,太【たい】陽【よう】が上【うえ】にある時【とき】,Time Expressions,,"daytime, noon","<ruby class=""vocab"">太陽が上にある時<rt>たいようがうえにあるとき</rt></ruby>",昼
太陽が下に入る時,evening,太陽が下に入る時,太【たい】陽【よう】が下【した】に入【はい】る時【とき】,Time Expressions,,evening,"<ruby class=""vocab"">太陽が下に入る時<rt>たいようがしたにはいるとき</rt></ruby>",夕方
今の日の始まりの時,this morning,今の日の始まりの時,今【いま】の日【にち】の始【はじ】まりの時【とき】,Time Expressions,,this morning,"<ruby class=""vocab"">今の日の始まりの時<rt>いまのにちのはじまりのとき</rt></ruby>",今朝
今日の夜,tonight,今日の夜,今【いま】日【にち】の夜【よる】,Time Expressions,,tonight,"<ruby class=""vocab"">今日の夜<rt>いまにちのよる</rt></ruby>",今夜
明の後の日,day after tomorrow,明の後の日,明【あす】の後【あと】の日【にち】,Time Expressions,,day after tomorrow,"<ruby class=""vocab"">明の後の日<rt>あすのあとのにち</rt></ruby>",明後日
前の前の日,day before yesterday,前の前の日,前【まえ】の前【まえ】の日【にち】,Time Expressions,,day before yesterday,"<ruby class=""vocab"">前の前の日<rt>まえのまえのにち</rt></ruby>",一昨日
今より少し前の時,last week,今より少し前の時,今【いま】より少【すこ】し前【まえ】の時【とき】,Time Expressions,,last week,"<ruby class=""vocab"">今より少し前の時<rt>いまよりすこしまえのとき</rt></ruby>",先週
今の近くの日の時,this week,今の近くの日の時,今【いま】の近【ちか】くの日【にち】の時【とき】,Time Expressions,,this week,"<ruby class=""vocab"">今の近くの日の時<rt>いまのちかくのにちのとき</rt></ruby>",今週
今より少し後の時,next week,今より少し後の時,今【いま】より少【すこ】し後【あと】の時【とき】,Time Expressions,,next week,"<ruby class=""vocab"">今より少し後の時<rt>いまよりすこしあとのとき</rt></ruby>",来週
今の月の前の月,last month,今の月の前の月,今【いま】の月【つき】の前【まえ】の月【つき】,Time Expressions,,last month,"<ruby class=""vocab"">今の月の前の月<rt>いまのつきのまえのつき</rt></ruby>",先月
今の月,this month,今の月,今【いま】の月【つき】,Time Expressions,,this month,"<ruby class=""vocab"">今の月<rt>いまのつき</rt></ruby>",今月
今の月の後の月,next month,今の月の後の月,今【いま】の月【つき】の後【あと】の月【つき】,Time Expressions,,next month,"<ruby class=""vocab"">今の月の後の月<rt>いまのつきのあとのつき</rt></ruby>",来月
今の年の前の年,last year,今の年の前の年,今【いま】の年【とし】の前【まえ】の年【とし】,Time Expressions,,last year,"<ruby class=""vocab"">今の年の前の年<rt>いまのとしのまえのとし</rt></ruby>",去年
今の年,this year,今の年,今【いま】の年【とし】,Time Expressions,,this year,"<ruby class=""vocab"">今の年<rt>いまのとし</rt></ruby>",今年
今の年の後の年,next year,今の年の後の年,今【いま】の年【とし】の後【あと】の年【とし】,Time Expressions,,next year,"<ruby class=""vocab"">今の年の後の年<rt>いまのとしのあとのとし</rt></ruby>",来年
日のまとまりの終わりの日,weekend,日のまとまりの終わりの日,日【にち】のまとまりの終【お】わりの日【にち】,Time Expressions,,weekend,"<ruby class=""vocab"">日のまとまりの終わりの日<rt>にちのまとまりのおわりのにち</rt></ruby>",週末
毎日のいつもの日,weekday,毎日のいつもの日,毎【まい】日【にち】のいつもの日【にち】,Time Expressions,,weekday,"<ruby class=""vocab"">毎日のいつもの日<rt>まいにちのいつものにち</rt></ruby>",平日
今から前や後まで止まらない物,"time, hour",今から前や後まで止まらない物,今【いま】から前【まえ】や後【あと】まで止【と】まらない物【もの】,Time Expressions,,"time, hour","<ruby class=""vocab"">今から前や後まで止まらない物<rt>いまからまえやあとまでとまらないもの</rt></ruby>",時間
一の時を多く切った一つ,minute,一の時を多く切った一つ,一【いち】の時【とき】を多【おお】く切【き】った一【ひと】つ,Time Expressions,,minute,"<ruby class=""vocab"">一の時を多く切った一つ<rt>いちのときをおおくきったひとつ</rt></ruby>",分
とても少しの時,second,とても少しの時,とても少【すこ】しの時【とき】,Time Expressions,,second,"<ruby class=""vocab"">とても少しの時<rt>とてもすこしのとき</rt></ruby>",秒
太陽が高くなる前の時,"AM, morning",太陽が高くなる前の時,太【たい】陽【よう】が高【たか】くなる前【まえ】の時【とき】,Time Expressions,,"AM, morning","<ruby class=""vocab"">太陽が高くなる前の時<rt>たいようがたかくなるまえのとき</rt></ruby>",午前
太陽が高くなった後の時,"PM, afternoon",太陽が高くなった後の時,太【たい】陽【よう】が高【たか】くなった後【あと】の時【とき】,Time Expressions,,"PM, afternoon","<ruby class=""vocab"">太陽が高くなった後の時<rt>たいようがたかくなったあとのとき</rt></ruby>",午後
