Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese,Produce
すみません。体を良くする物が欲しいです。,Excuse me. I would like some medicine.,体を良くする物,すみません。体【からだ】を良【よ】くする物【もの】が欲【ほ】しいです。,At the Pharmacy,polite,medicine,"<ruby class=""vocab"">体を良くする物<rt>からだをよくするもの</rt></ruby>",すみません。薬が欲しいのですが。,y
腹が悪い感じです。食べた後に悪くなります。,My stomach hurts. It gets bad after eating.,悪い感じ,腹【はら】が悪【わる】い感【かん】じです。食【た】べた後【あと】に悪【わる】くなります。,At the Pharmacy,polite,pain,"<ruby class=""vocab"">悪い感じ<rt>わるいかんじ</rt></ruby>",お腹が痛いです。食べた後に痛くなります。,y
食べ物で体が悪くなる事はありますか。,Does any food make you feel bad?,なる,食【た】べ物【もの】で体【からだ】が悪【わる】くなる事【こと】はありますか。,At the Pharmacy,polite,become,"<span class=""vocab""><span class=""pitch-h"">な</span><span class=""pitch-l"">る</span></span>",食べ物でアレルギーが出ることはありますか。,y
いいえ、ないです。,"No, I don't.",いいえ,いいえ、ないです。,At the Pharmacy,polite,no,"<span class=""vocab""><span class=""pitch-l"">い</span><span class=""pitch-h"">い</span><span class=""pitch-h"">え</span></span>",いいえ、ありません。,y
これが良いと思います。毎日、食べた後に一つ飲んでください。,I think this is good. Please take one after each meal.,ください,これが良【よ】いと思【おも】います。毎【まい】日【にち】、食【た】べた後【あと】に一【ひと】つ飲【の】んでください。,At the Pharmacy,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",これが良いと思います。毎日、食後に一つ飲んでください。,y
分かりました。いくらですか。,I understand. How much is it?,いくら,分【わ】かりました。いくらですか。,At the Pharmacy,polite,how much (money),"<span class=""vocab""><span class=""pitch-h"">い</span><span class=""pitch-l"">く</span><span class=""pitch-l"">ら</span></span>",,y
五百です。良くならないなら、体を助ける人に会ってください。,"It's five hundred. If it doesn't get better, please see a doctor.",体を助ける人,五【ご】百【ひゃく】です。良【よ】くならないなら、体【からだ】を助【たす】ける人【ひと】に会【あ】ってください。,At the Pharmacy,polite,doctor,"<ruby class=""vocab"">体を助ける人<rt>からだをたすけるひと</rt></ruby>",五百円です。良くならなければ、医者に行ってください。,y
マスク,mask,マスク,マスク,Health,,mask,"<ruby class=""vocab"">マスク<rt><span class=""pitch-h"">ま</span><span class=""pitch-l"">す</span><span class=""pitch-l"">く</span></rt></ruby>",,y
アレルギー,allergy,アレルギー,アレルギー,Health,,allergy,"<ruby class=""vocab"">アレルギー<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">る</span><span class=""pitch-l"">ぎ</span><span class=""pitch-l"">ー</span></rt></ruby>",,y
ストレス,stress,ストレス,ストレス,Health,,stress,"<ruby class=""vocab"">ストレス<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">と</span><span class=""pitch-l"">れ</span><span class=""pitch-l"">す</span></rt></ruby>",,y
ワクチン,vaccine,ワクチン,ワクチン,Health,,vaccine,"<ruby class=""vocab"">ワクチン<rt><span class=""pitch-h"">わ</span><span class=""pitch-l"">く</span><span class=""pitch-l"">ち</span><span class=""pitch-l"">ん</span></rt></ruby>",,y
ビタミン,vitamin,ビタミン,ビタミン,Health,,vitamin,"<ruby class=""vocab"">ビタミン<rt><span class=""pitch-l"">び</span><span class=""pitch-h"">た</span><span class=""pitch-l"">み</span><span class=""pitch-l"">ん</span></rt></ruby>",,y
