Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese
すみません。ここから海の人が来る物を待つ所まで行きたいです。,Excuse me. I want to go from here to the sea station.,人が来る物を待つ所,すみません。ここから海【うみ】の人【ひと】が来【く】る物【もの】を待【ま】つ所【ところ】まで行【い】きたいです。,At the Train Station,polite,station,"<ruby class=""vocab"">人が来る物を待つ所<rt>ひとがくるものをまつところ</rt></ruby>",すみません。ここから海の駅まで行きたいです。
二百円です。,Two hundred yen.,二,二【に】百【ひゃく】円【えん】です。,At the Train Station,polite,two,"<ruby class=""vocab"">二<rt><span class=""pitch-h"">に</span></rt></ruby>",
一つください。何つ目の所から出ますか。,One please. What platform does it leave from?,ください,一【ひと】つください。何【なに】つ目【め】の所【ところ】から出【で】ますか。,At the Train Station,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",一枚ください。何番線から出ますか。
三つ目です。上に行ってください。,Number three. Please go up.,ください,三【みっ】つ目【め】です。上【うえ】に行【い】ってください。,At the Train Station,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",三番線です。上に行ってください。
いつ来ますか。,When does it come?,いつ,いつ来【き】ますか。,At the Train Station,polite,when,"<span class=""vocab""><span class=""pitch-h"">い</span><span class=""pitch-l"">つ</span></span>",
十五の後です。,In fifteen minutes.,後,十【じゅう】五【ご】の後【あと】です。,At the Train Station,polite,after,"<ruby class=""vocab"">後<rt><span class=""pitch-h"">あ</span><span class=""pitch-l"">と</span></rt></ruby>",十五分後です。
海の所までどのくらいですか。,How long to the sea station?,まで,海【うみ】の所【ところ】までどのくらいですか。,At the Train Station,polite,"until, to","<span class=""vocab"">まで</span>",海の駅までどのくらいですか。
二十ぐらいです。三つ目の所で出てください。,About twenty minutes. Get off at the third stop.,ください,二【に】十【じゅう】ぐらいです。三【みっ】つ目【め】の所【ところ】で出【で】てください。,At the Train Station,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",二十分くらいです。三つ目の駅で降りてください。
道を速く動く物,car,道を速く動く物,道【みち】を速【はや】く動【うご】く物【もの】,Transport & Travel,,car,"<ruby class=""vocab"">道を速く動く物<rt>みちをはやくうごくもの</rt></ruby>",車
道の上を動く長い物,train,道の上を動く長い物,道【みち】の上【うえ】を動【うご】く長【なが】い物【もの】,Transport & Travel,,train,"<ruby class=""vocab"">道の上を動く長い物<rt>みちのうえをうごくながいもの</rt></ruby>",電車
多くの人が中に入る大きい物,bus,多くの人が中に入る大きい物,多【おお】くの人【ひと】が中【なか】に入【はい】る大【おお】きい物【もの】,Transport & Travel,,bus,"<ruby class=""vocab"">多くの人が中に入る大きい物<rt>おおくのひとがなかにはいるおおきいもの</rt></ruby>",バス
空を動く物,airplane,空を動く物,空【そら】を動【うご】く物【もの】,Transport & Travel,,airplane,"<ruby class=""vocab"">空を動く物<rt>そらをうごくもの</rt></ruby>",飛行機
海を動く物,ship/boat,海を動く物,海【うみ】を動【うご】く物【もの】,Transport & Travel,,ship/boat,"<ruby class=""vocab"">海を動く物<rt>うみをうごくもの</rt></ruby>",船
足を使って動かす物,bicycle,足を使って動かす物,足【あし】を使【つか】って動【うご】かす物【もの】,Transport & Travel,,bicycle,"<ruby class=""vocab"">足を使って動かす物<rt>あしをつかってうごかすもの</rt></ruby>",自転車
お金を与えて中に入る物,taxi,お金を与えて中に入る物,お金【かね】を与【あた】えて中【なか】に入【はい】る物【もの】,Transport & Travel,,taxi,"<ruby class=""vocab"">お金を与えて中に入る物<rt>おかねをあたえてなかにはいるもの</rt></ruby>",タクシー
重い物を持って動く大きい物,truck,重い物を持って動く大きい物,重【おも】い物【もの】を持【も】って動【うご】く大【おお】きい物【もの】,Transport & Travel,,truck,"<ruby class=""vocab"">重い物を持って動く大きい物<rt>おもいものをもってうごくおおきいもの</rt></ruby>",トラック
速く動ける大きい道,highway/expressway,速く動ける大きい道,速【はや】く動【うご】ける大【おお】きい道【みち】,Transport & Travel,,highway/expressway,"<ruby class=""vocab"">速く動ける大きい道<rt>はやくうごけるおおきいみち</rt></ruby>",高速道路
長い物が動く道,railway system,長い物が動く道,長【なが】い物【もの】が動【うご】く道【みち】,Transport & Travel,,railway system,"<ruby class=""vocab"">長い物が動く道<rt>ながいものがうごくみち</rt></ruby>",鉄道
