Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese
今からデモを始めます。,I will start the demo now.,デモ,今【いま】からデモを始【はじ】めます。,Technical Demo,polite,demo,"<ruby class=""vocab"">デモ<rt><span class=""pitch-h"">で</span><span class=""pitch-l"">も</span></rt></ruby>",これからデモを始めます。
これを使うと、何が起こるか見てください。,Watch what happens when I use this.,ください,これを使【つか】うと、何【なに】が起【お】こるか見【み】てください。,Technical Demo,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",これを使うと何が起きるか見てください。
新しい物がすぐ見えます。,The new item appears immediately.,新しい,新【あたら】しい物【もの】がすぐ見【み】えます。,Technical Demo,polite,new,"<ruby class=""vocab"">新しい<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">た</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">し</span><span class=""pitch-l"">い</span></rt></ruby>",新しいものがすぐに表示されます。
前より速くなりました。,It is faster than before.,前,前【まえ】より速【はや】くなりました。,Technical Demo,polite,before,"<ruby class=""vocab"">前<rt><span class=""pitch-h"">ま</span><span class=""pitch-l"">え</span></rt></ruby>",以前より速くなりました。
知っている事を見た時の良さ,"grades, results, performance",知っている事を見た時の良さ,知【し】っている事【こと】を見【み】た時【とき】の良【よ】さ,Work & School,,"grades, results, performance","<ruby class=""vocab"">知っている事を見た時の良さ<rt>しっていることをみたときのよさ</rt></ruby>",成績
したい事ができた事,"success, achievement",したい事ができた事,したい事【こと】ができた事【こと】,Work & School,,"success, achievement","<ruby class=""vocab"">したい事ができた事<rt>したいことができたこと</rt></ruby>",成功
良いか悪いかを見る事,"evaluation, assessment, rating",良いか悪いかを見る事,良【よ】いか悪【わる】いかを見【み】る事【こと】,Work & School,,"evaluation, assessment, rating","<ruby class=""vocab"">良いか悪いかを見る事<rt>よいかわるいかをみること</rt></ruby>",評価
多くの人に言う事,"presentation, announcement",多くの人に言う事,多【おお】くの人【ひと】に言【い】う事【こと】,Work & School,,"presentation, announcement","<ruby class=""vocab"">多くの人に言う事<rt>おおくのひとにいうこと</rt></ruby>",発表
ビルド,build,ビルド,ビルド,Build and delivery,,build,"<ruby class=""vocab"">ビルド<rt><span class=""pitch-h"">び</span><span class=""pitch-l"">る</span><span class=""pitch-l"">ど</span></rt></ruby>",
テスト,test,テスト,テスト,Build and delivery,,test,"<ruby class=""vocab"">テスト<rt><span class=""pitch-h"">て</span><span class=""pitch-l"">す</span><span class=""pitch-l"">と</span></rt></ruby>",
パイプライン,pipeline,パイプライン,パイプライン,Build and delivery,,pipeline,"<ruby class=""vocab"">パイプライン<rt><span class=""pitch-l"">ぱ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ぷ</span><span class=""pitch-h"">ら</span><span class=""pitch-l"">い</span><span class=""pitch-l"">ん</span></rt></ruby>",
デプロイ,deploy,デプロイ,デプロイ,Build and delivery,,deploy,"<ruby class=""vocab"">デプロイ<rt><span class=""pitch-h"">で</span><span class=""pitch-l"">ぷ</span><span class=""pitch-l"">ろ</span><span class=""pitch-l"">い</span></rt></ruby>",
リリース,release,リリース,リリース,Build and delivery,,release,"<ruby class=""vocab"">リリース<rt><span class=""pitch-l"">り</span><span class=""pitch-h"">り</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">す</span></rt></ruby>",
