Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese
来てくれてありがとう。,Welcome.,ありがとう,来【き】てくれてありがとう。,At the Convenience Store,casual,thank you,"<span class=""vocab""><span class=""pitch-l"">あ</span><span class=""pitch-h"">り</span><span class=""pitch-l"">が</span><span class=""pitch-l"">と</span><span class=""pitch-l"">う</span></span>",いらっしゃいませ。
すみません。この食べ物を暑くしてください。,Excuse me. Please heat this food.,すみません,すみません。この食【た】べ物【もの】を暑【あつ】くしてください。,At the Convenience Store,polite,excuse me,"<span class=""vocab"">すみません</span>",すみません。これを温めてください。
はい。少し待ってください。入れる物は必要ですか。,Yes. Please wait. Do you need a bag?,ください,はい。少【すこ】し待【ま】ってください。入【い】れる物【もの】は必要【ひつよう】ですか。,At the Convenience Store,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",はい。少々お待ちください。袋は必要ですか。
はい、ください。,Yes please.,ください,はい、ください。,At the Convenience Store,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",はい、お願いします。
他に欲しい物はありますか。,Anything else?,欲しい,他【ほか】に欲【ほ】しい物【もの】はありますか。,At the Convenience Store,polite,want (thing),"<ruby class=""vocab"">欲しい<rt><span class=""pitch-l"">ほ</span><span class=""pitch-h"">し</span><span class=""pitch-l"">い</span></rt></ruby>",
この飲み物もください。,This drink too please.,ください,この飲【の】み物【もの】もください。,At the Convenience Store,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",
全部で三百五十です。,The total is three hundred fifty.,全部,全部【ぜんぶ】で三【さん】百【びゃく】五【ご】十【じゅう】です。,At the Convenience Store,polite,all,"<ruby class=""vocab"">全部<rt><span class=""pitch-h"">ぜ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">ぶ</span></rt></ruby>",全部で三百五十円です。
お金の小さい物で良いですか。,Is card okay?,小さい,お金【かね】の小【ちい】さい物【もの】で良【よ】いですか。,At the Convenience Store,polite,small,"<ruby class=""vocab"">小さい<rt><span class=""pitch-l"">ち</span><span class=""pitch-h"">い</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></rt></ruby>",カードで大丈夫ですか。
はい。ありがとう。,Yes. Thank you.,ありがとう,はい。ありがとう。,At the Convenience Store,casual,thank you,"<span class=""vocab""><span class=""pitch-l"">あ</span><span class=""pitch-h"">り</span><span class=""pitch-l"">が</span><span class=""pitch-l"">と</span><span class=""pitch-l"">う</span></span>",はい。ありがとうございます。
レジ,register / checkout,レジ,レジ,Shopping,,register / checkout,"<ruby class=""vocab"">レジ<rt><span class=""pitch-h"">れ</span><span class=""pitch-l"">じ</span></rt></ruby>",
サイズ,size,サイズ,サイズ,Shopping,,size,"<ruby class=""vocab"">サイズ<rt><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span><span class=""pitch-l"">ず</span></rt></ruby>",
レシート,receipt,レシート,レシート,Shopping,,receipt,"<ruby class=""vocab"">レシート<rt><span class=""pitch-l"">れ</span><span class=""pitch-h"">し</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">と</span></rt></ruby>",
カード,card,カード,カード,Shopping,,card,"<ruby class=""vocab"">カード<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ど</span></rt></ruby>",
ポイント,point(s),ポイント,ポイント,Shopping,,point(s),"<ruby class=""vocab"">ポイント<rt><span class=""pitch-l"">ぽ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span></rt></ruby>",
セール,sale,セール,セール,Shopping,,sale,"<ruby class=""vocab"">セール<rt><span class=""pitch-h"">せ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">る</span></rt></ruby>",
プレゼント,present / gift,プレゼント,プレゼント,Shopping,,present / gift,"<ruby class=""vocab"">プレゼント<rt><span class=""pitch-l"">ぷ</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">ぜ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">と</span></rt></ruby>",
テレビ,television / TV,テレビ,テレビ,Daily Objects,,television / TV,"<ruby class=""vocab"">テレビ<rt><span class=""pitch-h"">て</span><span class=""pitch-l"">れ</span><span class=""pitch-l"">び</span></rt></ruby>",
テーブル,table,テーブル,テーブル,Daily Objects,,table,"<ruby class=""vocab"">テーブル<rt><span class=""pitch-l"">て</span><span class=""pitch-h"">ー</span><span class=""pitch-h"">ぶ</span><span class=""pitch-h"">る</span></rt></ruby>",
ドア,door,ドア,ドア,Daily Objects,,door,"<ruby class=""vocab"">ドア<rt><span class=""pitch-h"">ど</span><span class=""pitch-l"">あ</span></rt></ruby>",
ソファ,sofa,ソファ,ソファ,Daily Objects,,sofa,"<ruby class=""vocab"">ソファ<rt><span class=""pitch-h"">そ</span><span class=""pitch-l"">ふぁ</span></rt></ruby>",
エアコン,air conditioner,エアコン,エアコン,Daily Objects,,air conditioner,"<ruby class=""vocab"">エアコン<rt><span class=""pitch-l"">え</span><span class=""pitch-h"">あ</span><span class=""pitch-h"">こ</span><span class=""pitch-h"">ん</span></rt></ruby>",
カメラ,camera,カメラ,カメラ,Daily Objects,,camera,"<ruby class=""vocab"">カメラ<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">め</span><span class=""pitch-l"">ら</span></rt></ruby>",
ナイフ,knife,ナイフ,ナイフ,Daily Objects,,knife,"<ruby class=""vocab"">ナイフ<rt><span class=""pitch-h"">な</span><span class=""pitch-l"">い</span><span class=""pitch-l"">ふ</span></rt></ruby>",
フォーク,fork,フォーク,フォーク,Daily Objects,,fork,"<ruby class=""vocab"">フォーク<rt><span class=""pitch-h"">ふぉ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">く</span></rt></ruby>",
