Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese,Produce
すみません。ここに来た事を書きたいです。,Excuse me. I want to register my address.,すみません,すみません。ここに来【き】た事【こと】を書【か】きたいです。,At City Hall,polite,excuse me,"<span class=""vocab"">すみません</span>",すみません。住所の届け出をしたいです。,y
分かりました。あなたが誰かを見せる物が必要です。,I see. You need identification.,あなた,分【わ】かりました。あなたが誰【だれ】かを見【み】せる物【もの】が必要【ひつよう】です。,At City Hall,polite,you,"<span class=""vocab""><span class=""pitch-l"">あ</span><span class=""pitch-h"">な</span><span class=""pitch-l"">た</span></span>",分かりました。身分証が必要です。,y
他の国の人なら、国に行く本も必要です。,"If you are from another country, you also need your passport.",他の国,他【ほか】の国【くに】の人【ひと】なら、国【くに】に行【い】く本【ほん】も必要【ひつよう】です。,At City Hall,polite,foreign country,"<ruby class=""vocab"">他の国<rt>ほかのくに</rt></ruby>",外国の方なら、パスポートも必要です。,y
はい。これです。どうぞ。,Yes. Here it is.,はい,はい。これです。どうぞ。,At City Hall,casual,yes,"<span class=""vocab""><span class=""pitch-h"">は</span><span class=""pitch-l"">い</span></span>",,y
ありがとう。この書く物に名前と家の所を書いてください。,Thank you. Please write your name and address on this form.,ありがとう,ありがとう。この書【か】く物【もの】に名前【なまえ】と家【いえ】の所【ところ】を書【か】いてください。,At City Hall,polite,thank you,"<span class=""vocab""><span class=""pitch-l"">あ</span><span class=""pitch-h"">り</span><span class=""pitch-l"">が</span><span class=""pitch-l"">と</span><span class=""pitch-l"">う</span></span>",ありがとうございます。この用紙に名前と住所を書いてください。,y
書き方が分かりません。教えてもらえますか。,I don't know how to fill this in. Can you help me?,も,書【か】き方【かた】が分【わ】かりません。教【おし】えてもらえますか。,At City Hall,polite,also,"<span class=""vocab"">も</span>",,y
はい。ここに名前。ここに家の所を書いてください。,"Yes. Write your name here, and your address here.",ください,はい。ここに名前【なまえ】。ここに家【いえ】の所【ところ】を書【か】いてください。,At City Hall,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",はい。ここに名前、ここに住所を書いてください。,y
ありがとう。どこに出しますか。,Thank you. Where do I submit it?,ありがとう,ありがとう。どこに出【だ】しますか。,At City Hall,polite,thank you,"<span class=""vocab""><span class=""pitch-l"">あ</span><span class=""pitch-h"">り</span><span class=""pitch-l"">が</span><span class=""pitch-l"">と</span><span class=""pitch-l"">う</span></span>",ありがとうございます。どこに出しますか。,y
二つ目の所に持って行ってください。,Please take it to counter number two.,ください,二【ふた】つ目【め】の所【ところ】に持【も】って行【い】ってください。,At City Hall,polite,please (give me),"<span class=""vocab""><span class=""pitch-l"">く</span><span class=""pitch-h"">だ</span><span class=""pitch-h"">さ</span><span class=""pitch-l"">い</span></span>",二番の窓口に持って行ってください。,y
人たちがいる所,society,人たちがいる所,人【ひと】たちがいる所【ところ】,Society & Culture,,society,"<ruby class=""vocab"">人たちがいる所<rt>ひとたちがいるところ</rt></ruby>",社会,y
国をどうするかを選ぶこと,politics,国をどうするかを選ぶこと,国【くに】をどうするかを選【えら】ぶこと,Society & Culture,,politics,"<ruby class=""vocab"">国をどうするかを選ぶこと<rt>くにをどうするかをえらぶこと</rt></ruby>",政治,y
お金と物の動き,economy,お金と物の動き,お金【かね】と物【もの】の動【うご】き,Society & Culture,,economy,"<ruby class=""vocab"">お金と物の動き<rt>おかねともののうごき</rt></ruby>",経済,y
国の人がしなければならないこと,law,国の人がしなければならないこと,国【くに】の人【ひと】がしなければならないこと,Society & Culture,,law,"<ruby class=""vocab"">国の人がしなければならないこと<rt>くにのひとがしなければならないこと</rt></ruby>",法律,y
