Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese
十が十,hundred (100),十が十,十【じゅう】が十【じゅう】,Numbers & Counting,,hundred (100),"<ruby class=""vocab"">十が十<rt>じゅうがじゅう</rt></ruby>",百
一つの物を二つに切った一つ,half,一つの物を二つに切った一つ,一【ひと】つの物【もの】を二【ふた】つに切【き】った一【ひと】つ,Numbers & Counting,,half,"<ruby class=""vocab"">一つの物を二つに切った一つ<rt>ひとつのものをふたつにきったひとつ</rt></ruby>",半分
もう一つ多い事,"double, times (multiplier)",もう一つ多い事,もう一【ひと】つ多【おお】い事【こと】,Numbers & Counting,,"double, times (multiplier)","<ruby class=""vocab"">もう一つ多い事<rt>もうひとつおおいこと</rt></ruby>",倍
その物の名前になる多さ,number (as identifier),その物の名前になる多さ,その物【もの】の名前【なまえ】になる多【おお】さ,Numbers & Counting,,number (as identifier),"<ruby class=""vocab"">その物の名前になる多さ<rt>そのもののなまえになるおおさ</rt></ruby>",番号
いくつあるかを言う物,"number, count, quantity",いくつあるかを言う物,いくつあるかを言【い】う物【もの】,Numbers & Counting,,"number, count, quantity","<ruby class=""vocab"">いくつあるかを言う物<rt>いくつあるかをいうもの</rt></ruby>",数
何かをした多さ,"time(s), occurrence (counter)",何かをした多さ,何【なに】かをした多【おお】さ,Numbers & Counting,,"time(s), occurrence (counter)","<ruby class=""vocab"">何かをした多さ<rt>なにかをしたおおさ</rt></ruby>",回
何かが起こった多さ,"degree, time(s), occasion",何かが起こった多さ,何【なに】かが起【お】こった多【おお】さ,Numbers & Counting,,"degree, time(s), occasion","<ruby class=""vocab"">何かが起こった多さ<rt>なにかがおこったおおさ</rt></ruby>",度
本の中のような物の多さを言う言葉,"flat things counter (sheets, cards)",本の中のような物の多さを言う言葉,本【ほん】の中【なか】のような物【もの】の多【おお】さを言【い】う言葉【ことば】,Numbers & Counting,,"flat things counter (sheets, cards)","<ruby class=""vocab"">本の中のような物の多さを言う言葉<rt>ほんのなかのようなもののおおさをいうことば</rt></ruby>",枚
長い物の多さを言う言葉,"long thin things counter (pens, bottles)",長い物の多さを言う言葉,長【なが】い物【もの】の多【おお】さを言【い】う言葉【ことば】,Numbers & Counting,,"long thin things counter (pens, bottles)","<ruby class=""vocab"">長い物の多さを言う言葉<rt>ながいもののおおさをいうことば</rt></ruby>",本
物の多さを言う言葉,small objects counter (pieces),物の多さを言う言葉,物【もの】の多【おお】さを言【い】う言葉【ことば】,Numbers & Counting,,small objects counter (pieces),"<ruby class=""vocab"">物の多さを言う言葉<rt>もののおおさをいうことば</rt></ruby>",個
動物の多さを言う言葉,small animals counter,動物の多さを言う言葉,動物【どうぶつ】の多【おお】さを言【い】う言葉【ことば】,Numbers & Counting,,small animals counter,"<ruby class=""vocab"">動物の多さを言う言葉<rt>どうぶつのおおさをいうことば</rt></ruby>",匹
動く物の多さを言う言葉,machines/vehicles counter,動く物の多さを言う言葉,動【うご】く物【もの】の多【おお】さを言【い】う言葉【ことば】,Numbers & Counting,,machines/vehicles counter,"<ruby class=""vocab"">動く物の多さを言う言葉<rt>うごくもののおおさをいうことば</rt></ruby>",台
飲む物の多さを言う言葉,cups/bowls counter (drinks),飲む物の多さを言う言葉,飲【の】む物【もの】の多【おお】さを言【い】う言葉【ことば】,Numbers & Counting,,cups/bowls counter (drinks),"<ruby class=""vocab"">飲む物の多さを言う言葉<rt>のむもののおおさをいうことば</rt></ruby>",杯
本の多さを言う言葉,bound books counter,本の多さを言う言葉,本【ほん】の多【おお】さを言【い】う言葉【ことば】,Numbers & Counting,,bound books counter,"<ruby class=""vocab"">本の多さを言う言葉<rt>ほんのおおさをいうことば</rt></ruby>",冊
足に着る物の多さを言う言葉,pairs of footwear counter,足に着る物の多さを言う言葉,足【あし】に着【き】る物【もの】の多【おお】さを言【い】う言葉【ことば】,Numbers & Counting,,pairs of footwear counter,"<ruby class=""vocab"">足に着る物の多さを言う言葉<rt>あしにきるもののおおさをいうことば</rt></ruby>",足
体に着る物の多さを言う言葉,clothing items counter,体に着る物の多さを言う言葉,体【からだ】に着【き】る物【もの】の多【おお】さを言【い】う言葉【ことば】,Numbers & Counting,,clothing items counter,"<ruby class=""vocab"">体に着る物の多さを言う言葉<rt>からだにきるもののおおさをいうことば</rt></ruby>",着
十の中の一つ,"ten percent unit, proportion",十の中の一つ,十【じゅう】の中【なか】の一【ひと】つ,Numbers & Counting,,"ten percent unit, proportion","<ruby class=""vocab"">十の中の一つ<rt>じゅうのなかのひとつ</rt></ruby>",割
前からいくつ目かを言う言葉,"number in sequence, rank",前からいくつ目かを言う言葉,前【まえ】からいくつ目【め】かを言【い】う言葉【ことば】,Numbers & Counting,,"number in sequence, rank","<ruby class=""vocab"">前からいくつ目かを言う言葉<rt>まえからいくつめかをいうことば</rt></ruby>",番
全部の中で一つだけ前,"first, number one",全部の中で一つだけ前,全部【ぜんぶ】の中【なか】で一【ひと】つだけ前【まえ】,Numbers & Counting,,"first, number one","<ruby class=""vocab"">全部の中で一つだけ前<rt>ぜんぶのなかでひとつだけまえ</rt></ruby>",第一
全部の中で一つだけ前の時,"first, beginning",全部の中で一つだけ前の時,全部【ぜんぶ】の中【なか】で一【ひと】つだけ前【まえ】の時【とき】,Numbers & Counting,,"first, beginning","<ruby class=""vocab"">全部の中で一つだけ前の時<rt>ぜんぶのなかでひとつだけまえのとき</rt></ruby>",最初
