Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,RealJapanese,Produce
今の日は空がとてもきれいですね。,The sky is very beautiful today.,今の日,今【いま】の日【にち】は空【そら】がとてもきれいですね。,Weather Small Talk,casual,today,"<ruby class=""vocab"">今の日<rt>いまのにち</rt></ruby>",今日は空がとてもきれいですね。,y
そうですね。太陽が出ていて、風も良いです。,"Yes. The sun is out, and the wind is nice.",太陽,そうですね。太陽【たいよう】が出【で】ていて、風【かぜ】も良【よ】いです。,Weather Small Talk,polite,sun,"<ruby class=""vocab"">太陽<rt><span class=""pitch-h"">た</span><span class=""pitch-l"">い</span><span class=""pitch-l"">よ</span><span class=""pitch-l"">う</span></rt></ruby>",そうですね。太陽が出ていて、風も気持ちいいです。,y
でも後から雨が来ると聞きました。,But I heard it will rain later.,来る,でも後【あと】から雨【あめ】が来【く】ると聞【き】きました。,Weather Small Talk,polite,come,"<ruby class=""vocab"">来る<rt><span class=""pitch-h"">く</span><span class=""pitch-l"">る</span></rt></ruby>",でも後から雨が降ると聞きました。,y
本当ですか。雨の物を持った方がいいですね。,Really? We should bring an umbrella.,雨の物,本当【ほんとう】ですか。雨【あめ】の物【もの】を持【も】った方【ほう】がいいですね。,Weather Small Talk,casual,umbrella,"<ruby class=""vocab"">雨の物<rt>あめのもの</rt></ruby>",本当ですか。傘を持った方がいいですね。,y
雨の前に外を歩きたいです。,I want to walk outside before the rain.,外,雨【あめ】の前【まえ】に外【そと】を歩【ある】きたいです。,Weather Small Talk,polite,outside,"<ruby class=""vocab"">外<rt><span class=""pitch-h"">そ</span><span class=""pitch-l"">と</span></rt></ruby>",,y
良いですね。良い日にしましょう。,That's nice. Let's make it a good day.,良い,良【よ】いですね。良【よ】い日【にち】にしましょう。,Weather Small Talk,polite,good,"<ruby class=""vocab"">良い<rt><span class=""pitch-h"">よ</span><span class=""pitch-l"">い</span></rt></ruby>",いいですね。良い一日にしましょう。,y
一りで悲しい,lonely,一りで悲しい,一【ひと】りで悲【かな】しい,Emotions & Personality,,lonely,"<ruby class=""vocab"">一りで悲しい<rt>ひとりでかなしい</rt></ruby>",寂しい,y
人に見られたくない心,embarrassed / shy,人に見られたくない心,人【ひと】に見【み】られたくない心【こころ】,Emotions & Personality,,embarrassed / shy,"<ruby class=""vocab"">人に見られたくない心<rt>ひとにみられたくないこころ</rt></ruby>",恥ずかしい,y
体も心もとても悪い,painful / agonizing,体も心もとても悪い,体【からだ】も心【こころ】もとても悪【わる】い,Emotions & Personality,,painful / agonizing,"<ruby class=""vocab"">体も心もとても悪い<rt>からだもこころもとてもわるい</rt></ruby>",苦しい,y
とても悲しくて悪い,hard / tough / painful,とても悲しくて悪い,とても悲【かな】しくて悪【わる】い,Emotions & Personality,,hard / tough / painful,"<ruby class=""vocab"">とても悲しくて悪い<rt>とてもかなしくてわるい</rt></ruby>",辛い,y
人に良くする心がある,kind / gentle,人に良くする心がある,人【ひと】に良【よ】くする心【こころ】がある,Emotions & Personality,,kind / gentle,"<ruby class=""vocab"">人に良くする心がある<rt>ひとによくするこころがある</rt></ruby>",優しい,y
